%roll pitch yaw
0.0165642 0.00383234 -0.26928
0.0168611 0.00333922 -0.26937
0.0171869 0.00289494 -0.269371
0.0175101 0.00248067 -0.269275
0.0178305 0.00205547 -0.269103
0.0181521 0.00160368 -0.268853
0.0184677 0.0011313 -0.268553
0.0187724 0.000619622 -0.268215
0.018996 9.68448e-05 -0.267859
0.0191396 -0.000402398 -0.267479
0.0192208 -0.000885291 -0.267098
0.019243 -0.00136267 -0.266734
0.0192121 -0.00183771 -0.266366
0.0191547 -0.00236491 -0.265978
0.0190859 -0.00297364 -0.265585
0.0189846 -0.00366991 -0.265158
0.0188595 -0.00444681 -0.264728
0.0186912 -0.00528601 -0.264302
0.0184598 -0.00614305 -0.263865
0.0181779 -0.00700259 -0.263421
0.0178566 -0.00785131 -0.262958
0.0175121 -0.0086858 -0.26248
0.0171832 -0.00949368 -0.261994
0.0168925 -0.0102657 -0.261508
0.0166392 -0.0110008 -0.261009
0.0164316 -0.01166 -0.260519
0.0162724 -0.0122554 -0.260041
0.0161374 -0.0127644 -0.259583
0.0160143 -0.0132102 -0.25914
0.015894 -0.013592 -0.258703
0.0157959 -0.013891 -0.258253
0.015734 -0.0141189 -0.257821
0.0156847 -0.0142728 -0.257447
0.0156701 -0.0143518 -0.257135
0.0156979 -0.0143661 -0.2569
0.0158099 -0.0143289 -0.256747
0.0160015 -0.0142397 -0.256645
0.0162903 -0.0141106 -0.25659
0.0166518 -0.013998 -0.256592
0.0170629 -0.0139224 -0.256661
0.0175087 -0.0138538 -0.256783
0.0179755 -0.0137624 -0.25697
0.0184578 -0.0136995 -0.257243
0.0189253 -0.013642 -0.257575
0.0193644 -0.0135894 -0.257943
0.0197957 -0.0135303 -0.258338
0.0201952 -0.0134777 -0.258748
0.0205425 -0.0134481 -0.25918
0.0208737 -0.0134368 -0.259607
0.021196 -0.0134293 -0.260016
0.0214835 -0.0134737 -0.2604
0.0217197 -0.0135883 -0.260776
0.0219036 -0.0137399 -0.261136
0.0220364 -0.0139113 -0.261499
0.0221233 -0.0140582 -0.26186
0.0221378 -0.0141959 -0.262213
0.0220995 -0.014324 -0.262559
0.0220299 -0.0144361 -0.262893
0.0219379 -0.0145417 -0.263198
0.0218138 -0.0146602 -0.263493
0.021697 -0.0148081 -0.263757
0.0215909 -0.0149602 -0.26398
0.0214893 -0.0151399 -0.264166
0.0214009 -0.0153277 -0.26432
0.0212939 -0.0155199 -0.26444
0.0211905 -0.015713 -0.264525
0.0210918 -0.0158823 -0.264576
0.0209824 -0.0160713 -0.264606
0.0208376 -0.0162755 -0.264597
0.0206926 -0.0164904 -0.26453
0.0205384 -0.0167308 -0.264419
0.0203957 -0.0169982 -0.26427
0.0202722 -0.0173136 -0.264103
0.0201697 -0.0176517 -0.263931
0.0201026 -0.0180115 -0.263751
0.0200675 -0.0184162 -0.26356
0.0200542 -0.0188383 -0.263344
0.0200535 -0.0192445 -0.263106
0.0200671 -0.0196076 -0.262847
0.0200872 -0.0199453 -0.26258
0.020125 -0.0202542 -0.262318
0.0201703 -0.0205165 -0.26206
0.0202053 -0.020749 -0.261809
0.0202348 -0.0209145 -0.261593
0.0202678 -0.0210024 -0.261402
0.0203109 -0.0210621 -0.261277
0.0203466 -0.0210855 -0.261171
0.0204089 -0.0210894 -0.261094
0.0204785 -0.0210959 -0.26102
0.0205589 -0.0211381 -0.260926
0.0206083 -0.0212197 -0.260794
0.020666 -0.0213303 -0.260641
0.020691 -0.0214609 -0.260478
0.0206759 -0.021545 -0.260324
0.0205626 -0.0215587 -0.260217
0.0203867 -0.0215387 -0.26015
0.0201349 -0.0215389 -0.26012
0.0198252 -0.0215756 -0.260134
0.0194597 -0.0216247 -0.260175
0.019099 -0.0216997 -0.260223
0.0187471 -0.0217774 -0.260256
0.0184064 -0.02182 -0.260277
0.0180549 -0.0218116 -0.26029
0.0177076 -0.0217347 -0.260317
0.0173261 -0.021613 -0.260351
0.016908 -0.0214663 -0.260415
0.0164562 -0.0213158 -0.260521
0.0160233 -0.0211352 -0.260679
0.0155849 -0.0209191 -0.260908
0.0151774 -0.0206918 -0.261203
0.0148115 -0.020437 -0.261534
0.0145276 -0.0201739 -0.261883
0.0143142 -0.0199262 -0.262248
0.014152 -0.0197106 -0.262624
0.0140399 -0.0195096 -0.263022
0.0140482 -0.0191733 -0.263464
0.0140636 -0.0188086 -0.26396
0.0140853 -0.0183683 -0.264501
0.0140807 -0.0179172 -0.265103
0.0140598 -0.0174506 -0.265714
0.0139413 -0.0170409 -0.266273
0.0136749 -0.0166648 -0.26676
0.0132576 -0.0164815 -0.267159
0.0126675 -0.0164495 -0.267483
0.0119126 -0.0165727 -0.267707
0.0110134 -0.0168671 -0.267863
0.0100068 -0.0172842 -0.267958
0.0089517 -0.0177801 -0.267997
0.00791113 -0.0183051 -0.267981
0.00694269 -0.0188105 -0.267927
0.00593851 -0.0194004 -0.267818
0.00510321 -0.0199743 -0.267658
0.00458787 -0.0204214 -0.267468
0.00422545 -0.0208145 -0.26725
0.00399828 -0.0211429 -0.267024
0.00389411 -0.0213451 -0.266782
0.00389651 -0.0213526 -0.266508
0.00400727 -0.0211331 -0.266204
0.00422641 -0.0206527 -0.265886
0.0044724 -0.0200595 -0.265558
0.00489587 -0.0191024 -0.265249
0.00548818 -0.0177997 -0.264974
0.00626185 -0.0162061 -0.264741
0.00721629 -0.0144119 -0.264553
0.00828142 -0.0124949 -0.264389
0.00936559 -0.010548 -0.264227
0.0103883 -0.00864795 -0.264051
0.0112797 -0.00685353 -0.263812
0.0119989 -0.00519244 -0.263503
0.0125204 -0.00370583 -0.26313
0.0128661 -0.00243291 -0.26273
0.0130414 -0.00142996 -0.262305
0.0130927 -0.000728632 -0.261879
0.0130122 -0.000349148 -0.261467
0.0128274 -0.000267855 -0.26107
0.012589 -0.00046854 -0.260707
0.0123066 -0.000915532 -0.260356
0.011962 -0.00149164 -0.259993
0.0115786 -0.00215083 -0.25961
0.0111559 -0.00283748 -0.259244
0.0107039 -0.00358932 -0.258885
0.0102408 -0.00439287 -0.258548
0.00979837 -0.00524857 -0.258266
0.00938436 -0.00612673 -0.25802
0.00902227 -0.00701561 -0.257794
0.00872597 -0.00789044 -0.257586
0.00848119 -0.00875241 -0.257406
0.0082843 -0.00960445 -0.257228
0.00813876 -0.010461 -0.257046
0.00804225 -0.0113123 -0.256893
0.00799751 -0.0121449 -0.256768
0.00802052 -0.0129884 -0.256676
0.00811984 -0.0138403 -0.256618
0.00829387 -0.0146973 -0.25658
0.00856206 -0.015558 -0.256564
0.00872865 -0.0165621 -0.256567
0.00893131 -0.0175694 -0.256609
0.00915878 -0.0185902 -0.256682
0.00954972 -0.0195095 -0.256763
0.00978646 -0.020529 -0.256876
0.0101883 -0.0214306 -0.25705
0.010584 -0.0223056 -0.257293
0.0110047 -0.0231172 -0.257608
0.011461 -0.0238907 -0.257989
0.0118957 -0.0246161 -0.25846
0.0123261 -0.0252967 -0.259023
0.0127374 -0.0259216 -0.259664
0.0131423 -0.0264601 -0.260372
0.0135018 -0.0269032 -0.261128
0.0138406 -0.0272371 -0.261931
0.0141574 -0.0274432 -0.262756
0.0144326 -0.0275492 -0.263572
0.0146829 -0.0275691 -0.264375
0.0149108 -0.0275382 -0.265149
0.0150501 -0.0274541 -0.265889
0.0151381 -0.0273259 -0.266568
0.0151528 -0.0271487 -0.267179
0.0150926 -0.0269276 -0.267708
0.0149617 -0.0266938 -0.26816
0.0147481 -0.0264466 -0.26854
0.0144887 -0.0261861 -0.268853
0.014162 -0.0258653 -0.26909
0.0138033 -0.0255222 -0.269244
0.0134232 -0.0251865 -0.26933
0.0130663 -0.0249199 -0.269365
0.0127311 -0.0247137 -0.269366
0.012391 -0.0245887 -0.269321
0.0121124 -0.0245175 -0.269208
0.0118787 -0.0244839 -0.269037
0.0117202 -0.024465 -0.268833
0.0116379 -0.0245274 -0.268589
0.0116354 -0.0246535 -0.268324
0.0117382 -0.0248287 -0.268018
0.011889 -0.0250201 -0.267696
0.0121038 -0.0252173 -0.26735
0.0123451 -0.0254341 -0.266992
0.012671 -0.0256511 -0.26661
0.013021 -0.025874 -0.266214
0.0134128 -0.0260941 -0.265826
0.0138621 -0.0262927 -0.265437
0.0143233 -0.0265305 -0.265037
0.0148366 -0.0267663 -0.264624
0.0153466 -0.0269685 -0.264215
0.0159288 -0.0271641 -0.263822
0.0164872 -0.027346 -0.263407
0.0170303 -0.0275677 -0.262989
0.0175999 -0.0278091 -0.262575
0.0181983 -0.0280344 -0.262204
0.0187645 -0.0282534 -0.261853
0.0193391 -0.0284973 -0.261545
0.0198965 -0.0287386 -0.261297
0.0204903 -0.0289777 -0.261116
0.0210383 -0.0291858 -0.260984
0.021586 -0.0294223 -0.260882
0.0221376 -0.0297046 -0.260816
0.022668 -0.0300145 -0.260785
0.0231494 -0.0303309 -0.260772
0.0236151 -0.0306594 -0.260771
0.0239972 -0.0309777 -0.260784
0.0243666 -0.0312753 -0.260804
0.0246658 -0.0315264 -0.260816
0.0249257 -0.0317382 -0.260833
0.0251602 -0.031934 -0.260826
0.0252988 -0.0320862 -0.260814
0.025427 -0.0322308 -0.260785
0.025453 -0.0324006 -0.260751
0.0254527 -0.0326044 -0.260726
0.0253869 -0.032811 -0.260708
0.0253255 -0.0329473 -0.260704
0.0252308 -0.033087 -0.260714
0.0251096 -0.0332746 -0.260758
0.0249839 -0.0334937 -0.260831
0.0247962 -0.0337254 -0.260923
0.024659 -0.0339746 -0.261038
0.0244955 -0.0342314 -0.26117
0.0243463 -0.0344845 -0.261312
0.0242118 -0.0347437 -0.261456
0.0241422 -0.0349844 -0.261621
0.0240758 -0.035234 -0.261799
0.024074 -0.0355121 -0.261973
0.0240667 -0.0358042 -0.262148
0.0241053 -0.0360913 -0.262303
0.0241768 -0.0363309 -0.262461
0.0242905 -0.0365393 -0.262604
0.0244383 -0.0367199 -0.262737
0.0245867 -0.0368995 -0.262858
0.024735 -0.0370767 -0.262983
0.024822 -0.0372463 -0.263103
0.0249075 -0.0373614 -0.263232
0.0249659 -0.0373841 -0.263361
0.0250068 -0.0373116 -0.26348
0.025002 -0.0371559 -0.263585
0.0249536 -0.0369671 -0.263648
0.0248885 -0.0367767 -0.263663
0.0247989 -0.0366019 -0.263659
0.0247109 -0.036444 -0.263605
0.0246301 -0.0362843 -0.2635
0.0245636 -0.0360561 -0.263353
0.0244776 -0.0358147 -0.263174
0.0244128 -0.0355784 -0.262975
0.0243548 -0.0353671 -0.262739
0.0242551 -0.0351774 -0.262486
0.0241053 -0.035032 -0.262222
0.0239131 -0.0348963 -0.261944
0.0236896 -0.0347563 -0.261657
0.0234381 -0.0345394 -0.261341
0.0232073 -0.034276 -0.261004
0.0230385 -0.034042 -0.260634
0.0229039 -0.0338106 -0.260228
0.0228223 -0.0336067 -0.259795
0.0227321 -0.0334887 -0.259359
0.0226886 -0.0334749 -0.258912
0.0225357 -0.0334981 -0.258481
0.0223251 -0.0335067 -0.258061
0.0220384 -0.0335068 -0.257661
0.0216689 -0.0334444 -0.257281
0.021182 -0.0332066 -0.25694
0.0205662 -0.0327632 -0.256618
0.0198366 -0.0320616 -0.256312
0.0189393 -0.0311002 -0.256024
0.017895 -0.0299191 -0.255755
0.016699 -0.0285481 -0.255557
0.0153477 -0.0270324 -0.255452
0.0139277 -0.025373 -0.255426
0.0125208 -0.0236257 -0.255464
0.0112134 -0.0218284 -0.255578
0.010012 -0.0200336 -0.255752
0.00901957 -0.018212 -0.255958
0.00787532 -0.015996 -0.256203
0.00693033 -0.013811 -0.256478
0.00620136 -0.011891 -0.256771
0.00603752 -0.0108608 -0.257107
0.0060301 -0.0101705 -0.2575
0.00578224 -0.00944535 -0.257933
0.0056205 -0.00898614 -0.258408
0.00554441 -0.00870801 -0.258938
0.00553286 -0.00853728 -0.259509
0.00557821 -0.00843563 -0.260114
0.00567512 -0.00839138 -0.260735
0.00581308 -0.00843305 -0.261339
0.00600085 -0.00862592 -0.261914
0.00623564 -0.00894267 -0.262438
0.00651334 -0.00938103 -0.26291
0.00683616 -0.00987363 -0.263307
0.00720565 -0.010354 -0.26359
0.00760697 -0.0108611 -0.263758
0.00796076 -0.0114164 -0.263826
0.00825219 -0.0120558 -0.263829
0.00843826 -0.0127412 -0.263771
0.00851589 -0.0134071 -0.263675
0.00842945 -0.0140624 -0.263567
0.00823642 -0.0146453 -0.263445
0.00796093 -0.0151904 -0.263285
0.00762911 -0.0157435 -0.263085
0.00727351 -0.0163601 -0.262835
0.00691053 -0.0170797 -0.26253
0.00648518 -0.0178788 -0.262163
0.00618618 -0.0188214 -0.261779
0.00581858 -0.0197364 -0.261358
