%roll pitch yaw
0.0168312 0.0159983 -0.291942
0.0168751 0.0156819 -0.291927
0.0169931 0.0153689 -0.291932
0.0171828 0.0150869 -0.291935
0.0174378 0.0148465 -0.2919
0.0177582 0.014651 -0.291838
0.0181555 0.0144973 -0.291739
0.018597 0.0143897 -0.291602
0.0191051 0.0143555 -0.291442
0.0196722 0.0143906 -0.291275
0.0202736 0.0144841 -0.291079
0.0208628 0.0146291 -0.290867
0.0214246 0.0148167 -0.290616
0.0219432 0.015056 -0.290335
0.0224164 0.0153425 -0.290034
0.022821 0.0156464 -0.289735
0.0231521 0.015975 -0.289451
0.0234109 0.016341 -0.289169
0.0235738 0.0167549 -0.288901
0.0236448 0.0172194 -0.288664
0.0236328 0.0177087 -0.288447
0.023534 0.0182021 -0.288264
0.0233447 0.0186822 -0.288101
0.0230727 0.0191494 -0.28798
0.0227441 0.0196117 -0.287914
0.0223592 0.020067 -0.287903
0.021939 0.0205025 -0.287955
0.0214955 0.0208915 -0.288081
0.0210386 0.0212213 -0.288264
0.0206077 0.0215039 -0.288523
0.0201828 0.021735 -0.288862
0.0197795 0.0218893 -0.289269
0.0194269 0.0220007 -0.289726
0.0191246 0.0220413 -0.290212
0.0188598 0.0219968 -0.290742
0.0186379 0.0218637 -0.291308
0.0184813 0.0216758 -0.291905
0.0183716 0.0214239 -0.292535
0.0182861 0.0211223 -0.293176
0.0182318 0.0207618 -0.293818
0.0181982 0.0203574 -0.29446
0.0181933 0.0199191 -0.295116
0.0182001 0.0194462 -0.295748
0.0182231 0.0189437 -0.296355
0.0182766 0.0184477 -0.296914
0.0183435 0.0179687 -0.29744
0.0184051 0.0175085 -0.297932
0.0184561 0.0170585 -0.298383
0.0184788 0.0166475 -0.2988
0.0184515 0.016288 -0.299188
0.0183749 0.0159466 -0.299567
0.018247 0.0156274 -0.299943
0.0180746 0.0153398 -0.300317
0.0178766 0.0150746 -0.300701
0.0176684 0.0148472 -0.301122
0.0174369 0.0146204 -0.301555
0.0171852 0.0144152 -0.301983
0.0168902 0.0142328 -0.302381
0.0165157 0.0141013 -0.30277
0.0160614 0.0140315 -0.30316
0.0155163 0.0140189 -0.303531
0.014875 0.0140469 -0.303896
0.0141683 0.0141167 -0.304231
0.0134005 0.0142178 -0.304541
0.0126129 0.0143564 -0.304851
0.0118292 0.0144998 -0.305148
0.0110555 0.0146561 -0.305428
0.0102907 0.0148235 -0.30566
0.00951006 0.014997 -0.30586
0.0086986 0.0151586 -0.306023
0.00785226 0.0152766 -0.306132
