%roll pitch yaw
0.00255133 0.0220362 -0.350064
0.0020767 0.0220709 -0.35028
0.0016123 0.0221006 -0.350497
0.00116481 0.0221233 -0.350708
0.000727431 0.0221295 -0.350903
0.000294389 0.0221279 -0.351093
-0.000111517 0.0221282 -0.351272
-0.000504579 0.0221252 -0.35145
-0.000876442 0.0221138 -0.351635
-0.00121604 0.0220911 -0.351817
-0.00154916 0.0220685 -0.352002
-0.00187535 0.0220455 -0.352182
-0.00217001 0.0220132 -0.352364
-0.00245072 0.0219661 -0.352532
-0.00272225 0.0219114 -0.352709
-0.00297361 0.0218707 -0.352888
-0.00319291 0.0218256 -0.353064
-0.00339028 0.0217754 -0.353217
-0.00357322 0.0217326 -0.353361
-0.0037311 0.0216809 -0.35351
-0.00387287 0.0216292 -0.353644
-0.00399896 0.0215758 -0.353766
-0.00409891 0.0215197 -0.35388
-0.00418184 0.0214662 -0.35399
-0.00424824 0.0214061 -0.354084
-0.00428581 0.0213549 -0.35417
-0.00429735 0.0213108 -0.354268
-0.00428764 0.0212632 -0.354354
-0.00426125 0.0212234 -0.354415
-0.00420874 0.0211828 -0.354456
-0.00412988 0.0211364 -0.354488
-0.00404197 0.0210893 -0.354517
-0.00392708 0.0210494 -0.354545
-0.0038022 0.0210173 -0.354551
-0.00365769 0.0209895 -0.354532
-0.00348959 0.0209593 -0.354503
-0.00330575 0.0209252 -0.354472
-0.00310945 0.0208933 -0.354435
-0.00288972 0.0208672 -0.354369
-0.00265078 0.0208383 -0.354277
-0.00239273 0.0208091 -0.354184
-0.00212683 0.0207735 -0.354062
-0.00185127 0.0207371 -0.353918
-0.00156508 0.0207014 -0.353767
-0.00126275 0.0206624 -0.353602
-0.00093971 0.0206273 -0.353434
-0.000601295 0.0205865 -0.353241
-0.000256403 0.0205385 -0.353019
0.00010198 0.0204904 -0.352779
0.000460473 0.0204371 -0.352515
0.000834239 0.0203801 -0.352228
0.00120208 0.0203157 -0.351947
0.00158637 0.0202338 -0.351665
0.0019811 0.0201525 -0.351362
0.00238444 0.0200697 -0.351041
0.00279966 0.0199921 -0.350704
0.00321545 0.0199072 -0.350344
0.00363102 0.0198062 -0.349959
0.00405029 0.0197019 -0.349568
0.00447087 0.0195895 -0.349166
0.00488254 0.0194697 -0.348745
0.00531397 0.0193452 -0.348303
0.00574392 0.0192139 -0.347852
0.00617692 0.0190837 -0.34738
0.00661506 0.0189395 -0.346894
0.00704812 0.0187861 -0.346378
0.00748125 0.0186252 -0.345841
0.00792499 0.0184438 -0.345301
0.00836798 0.0182609 -0.344788
0.00880982 0.0180538 -0.344243
0.00924058 0.0178586 -0.343678
0.00968853 0.0176504 -0.343124
0.0101298 0.0174242 -0.342561
0.0105701 0.0171975 -0.34197
0.0110069 0.0169577 -0.341378
0.0114509 0.0167157 -0.340786
0.0119029 0.0164629 -0.340192
0.0123508 0.0161995 -0.339612
0.0127948 0.0159312 -0.33904
