%roll pitch yaw
-0.0186479 -0.0359067 -0.105686
-0.0187426 -0.0366341 -0.105312
-0.0187906 -0.0373262 -0.104928
-0.0188287 -0.037972 -0.10454
-0.0189047 -0.0385782 -0.104164
-0.0189829 -0.0391324 -0.103808
-0.0190807 -0.0396464 -0.103466
-0.0192011 -0.0401289 -0.103131
-0.0193143 -0.0405534 -0.102821
-0.0194461 -0.0409232 -0.102539
-0.0195133 -0.041275 -0.102265
-0.01963 -0.0416135 -0.102011
-0.0196066 -0.0419426 -0.101772
-0.0195952 -0.0422093 -0.101525
-0.0195284 -0.0424264 -0.101286
-0.0194067 -0.0425758 -0.101053
-0.0193198 -0.0426544 -0.100843
-0.0191935 -0.0427005 -0.100643
-0.0191365 -0.0427099 -0.100479
-0.0190825 -0.0426797 -0.100348
-0.019073 -0.0426179 -0.100267
-0.0190846 -0.0425149 -0.100233
-0.0191253 -0.0423884 -0.100248
-0.019163 -0.0422413 -0.100322
-0.0191681 -0.0420913 -0.100447
-0.0191448 -0.0419394 -0.100591
-0.0190883 -0.0417783 -0.100766
-0.019011 -0.0416164 -0.10097
-0.0188313 -0.041365 -0.101191
-0.0186685 -0.041135 -0.10144
-0.0185342 -0.0409133 -0.10171
-0.0184383 -0.0407199 -0.102026
-0.0184378 -0.0406158 -0.102375
-0.0184843 -0.0405372 -0.102748
-0.0185113 -0.0405058 -0.103142
-0.0185692 -0.0405456 -0.103574
-0.0185742 -0.040673 -0.104025
-0.0185469 -0.0408774 -0.104472
-0.0185295 -0.0411493 -0.104917
-0.0184174 -0.0414693 -0.105371
-0.0184054 -0.0418007 -0.105817
-0.0183459 -0.0421327 -0.106246
-0.0182217 -0.0423772 -0.106669
-0.018175 -0.0426155 -0.107082
-0.0180595 -0.0428274 -0.107458
-0.0180296 -0.0430222 -0.10779
-0.0179801 -0.0431748 -0.108086
-0.0178868 -0.0432438 -0.108362
-0.0178801 -0.0432048 -0.108614
-0.017919 -0.0432142 -0.108848
-0.0180054 -0.0431314 -0.109085
-0.0180724 -0.0429448 -0.109286
-0.0181346 -0.0426719 -0.10948
-0.0181539 -0.0423388 -0.109656
-0.0181126 -0.0419346 -0.109806
-0.0180007 -0.0414563 -0.109916
-0.0178449 -0.0409125 -0.10998
-0.0176541 -0.0403206 -0.110006
-0.0174699 -0.0396882 -0.109992
-0.0172185 -0.03905 -0.109952
-0.0167951 -0.0383695 -0.109857
-0.0163474 -0.0377247 -0.10972
-0.0158005 -0.0371235 -0.109536
-0.0152549 -0.036537 -0.10934
-0.0147111 -0.035976 -0.109133
-0.0141302 -0.0354659 -0.108887
-0.0136205 -0.0350247 -0.108614
-0.013192 -0.0346844 -0.10833
-0.0127419 -0.0344402 -0.108021
-0.0123298 -0.0342833 -0.107683
-0.0118772 -0.0342162 -0.107329
-0.0114276 -0.0342045 -0.106953
-0.0109994 -0.0342092 -0.106562
-0.0105419 -0.0342167 -0.106165
-0.0101359 -0.0342197 -0.105772
-0.00976215 -0.0342083 -0.105378
-0.00943251 -0.0340816 -0.105003
-0.00911158 -0.0338899 -0.10465
-0.00878157 -0.0336428 -0.104313
-0.00846315 -0.0334233 -0.103999
-0.00813693 -0.0331541 -0.103746
-0.00784159 -0.0328356 -0.103542
-0.00755791 -0.0324757 -0.103379
-0.0072553 -0.032082 -0.103262
-0.00700075 -0.0316447 -0.10317
-0.00668304 -0.0311777 -0.103116
-0.00629062 -0.0306569 -0.103097
-0.00590087 -0.0301042 -0.103122
-0.00542436 -0.0295186 -0.103174
-0.00493579 -0.0289095 -0.103261
-0.0043971 -0.0283153 -0.103378
-0.00381447 -0.0277409 -0.103513
-0.00321614 -0.027214 -0.103679
-0.00253663 -0.0267288 -0.103868
-0.00187989 -0.0262782 -0.104042
-0.00117966 -0.025859 -0.104218
-0.000518431 -0.025462 -0.104405
0.000108748 -0.0250832 -0.104595
0.000740322 -0.024753 -0.104771
0.00126692 -0.0245004 -0.104954
0.00182081 -0.0243314 -0.105115
0.0023374 -0.0242248 -0.105272
0.00279257 -0.0241395 -0.105409
0.00326728 -0.0240391 -0.105512
0.00364625 -0.0238912 -0.105577
0.00401577 -0.0237109 -0.105633
0.00436655 -0.0234948 -0.105682
0.00466907 -0.0232517 -0.105704
0.0050016 -0.0229891 -0.105701
0.0053007 -0.0227063 -0.105673
0.00564077 -0.02241 -0.105637
0.00592982 -0.0220946 -0.1056
0.0062266 -0.021764 -0.105553
0.00649947 -0.0214187 -0.105509
0.00679938 -0.0210743 -0.105468
0.00713588 -0.0207408 -0.105437
0.00746229 -0.0204177 -0.105405
0.00786472 -0.020103 -0.105394
0.00823452 -0.0198144 -0.105401
0.00862929 -0.0195124 -0.105402
0.00902232 -0.0192378 -0.105415
0.00941798 -0.0189724 -0.105422
0.00984161 -0.0187314 -0.105416
0.0102592 -0.0185228 -0.105409
0.0107335 -0.01833 -0.105405
0.0111652 -0.0181394 -0.105404
0.0116312 -0.017951 -0.105386
0.0120479 -0.0177753 -0.105366
0.0124723 -0.0176274 -0.105348
0.0129098 -0.0175192 -0.10533
0.0133253 -0.0174409 -0.105299
0.0137565 -0.0173843 -0.105264
0.0141326 -0.0173135 -0.105231
0.0145306 -0.0172151 -0.105198
0.0148679 -0.0171 -0.10515
0.0152274 -0.0169612 -0.105097
0.0156021 -0.0167971 -0.105047
0.0160079 -0.0166288 -0.104997
0.0164918 -0.0164738 -0.104979
0.0169896 -0.0163253 -0.104989
0.0175872 -0.0161613 -0.105018
0.0181955 -0.0159869 -0.105074
0.0188787 -0.0157829 -0.105144
0.0195664 -0.015572 -0.105232
0.020277 -0.0153536 -0.10533
0.0210439 -0.0151451 -0.105456
0.0218325 -0.0149634 -0.105603
0.0226922 -0.0147991 -0.105782
0.0235693 -0.014665 -0.105945
0.024496 -0.014553 -0.106132
0.0254309 -0.0144626 -0.106305
0.0263654 -0.0143782 -0.106463
0.0273149 -0.0142979 -0.106618
0.0282084 -0.0142301 -0.10677
0.0290942 -0.0141622 -0.106917
0.0299138 -0.0141048 -0.107054
0.0307046 -0.0140394 -0.107162
0.0314653 -0.0139766 -0.107225
0.0321829 -0.0139118 -0.107267
0.0328928 -0.0138421 -0.10728
0.0335535 -0.0137871 -0.107258
0.0342049 -0.0137444 -0.107222
0.0348496 -0.0137041 -0.107155
0.0354574 -0.0136653 -0.107058
0.036063 -0.0136221 -0.106933
0.0366329 -0.0135854 -0.106795
0.0372056 -0.0135597 -0.106646
