%roll pitch yaw
-0.00594918 -0.0142411 0.0217049
-0.00594505 -0.014239 0.0217035
-0.00593924 -0.0142346 0.0217202
-0.00593792 -0.0142216 0.0217239
-0.00593414 -0.0142116 0.0217305
-0.00592764 -0.0142044 0.0217426
-0.00591726 -0.0142072 0.0217498
-0.00592108 -0.0142 0.021746
-0.0059304 -0.0142011 0.021727
-0.00593608 -0.0141979 0.0217116
-0.00592632 -0.0141877 0.0216964
-0.00593373 -0.0141888 0.0216788
-0.00594614 -0.0141929 0.0216724
-0.00594918 -0.0141956 0.0216709
-0.00594199 -0.0141961 0.0216811
-0.00592092 -0.0141927 0.021672
-0.00591685 -0.014195 0.0216678
-0.00591594 -0.0141925 0.021651
-0.00591083 -0.0141993 0.0216357
-0.00589988 -0.0141976 0.021626
-0.00589256 -0.014201 0.0216347
-0.00589701 -0.014209 0.0216492
-0.00588641 -0.0142159 0.0216321
-0.00588512 -0.0142158 0.0216283
-0.00588833 -0.014213 0.0216465
-0.00587932 -0.0142039 0.0216671
-0.00587956 -0.0141983 0.0216694
-0.00588187 -0.0141938 0.0216796
-0.00589714 -0.0141979 0.0216863
-0.00591503 -0.0142096 0.0217003
-0.00591597 -0.0142027 0.0217015
-0.00591097 -0.0142032 0.0216901
-0.00590171 -0.0142061 0.021675
-0.00589738 -0.0142006 0.0216751
-0.0059016 -0.0142002 0.021675
-0.00589985 -0.0141904 0.0216798
-0.00590311 -0.0141873 0.0216976
-0.00591146 -0.0141981 0.0217138
-0.0059073 -0.0142048 0.0217272
-0.00590342 -0.0142067 0.0217127
-0.00588781 -0.0142052 0.0216888
-0.00587532 -0.0142116 0.0216664
-0.00586876 -0.0142121 0.0216527
-0.00586373 -0.0142154 0.0216495
-0.00586124 -0.0142252 0.0216469
-0.00585829 -0.0142355 0.0216403
-0.00585366 -0.0142429 0.0216322
-0.00585027 -0.0142487 0.0216253
-0.00585716 -0.0142513 0.0216312
-0.0058546 -0.0142506 0.0216437
-0.00585641 -0.0142335 0.021661
-0.00586944 -0.014227 0.0216695
-0.0058719 -0.014228 0.0216735
-0.00586986 -0.0142143 0.0216692
-0.00587642 -0.0142038 0.021669
-0.00587865 -0.0141948 0.0216559
-0.00587995 -0.0141933 0.021651
-0.00588792 -0.0142045 0.0216526
-0.00588672 -0.0142203 0.021669
-0.00588322 -0.0142331 0.0216846
-0.00588 -0.0142372 0.0216967
-0.00587719 -0.0142353 0.0216976
-0.00587955 -0.0142321 0.0216913
-0.00587809 -0.0142293 0.0216704
-0.00588626 -0.0142202 0.0216562
-0.00588678 -0.0142113 0.0216489
-0.0058869 -0.0142045 0.0216326
-0.00589242 -0.0142045 0.0216256
-0.00589431 -0.0142052 0.0216185
-0.00588242 -0.0142167 0.0216046
-0.00587919 -0.0142216 0.0216055
-0.0058793 -0.0142396 0.021611
-0.00588784 -0.0142473 0.0216248
-0.00587958 -0.0142476 0.0216538
-0.00588184 -0.0142444 0.0216732
-0.0058817 -0.0142393 0.0216747
-0.00587859 -0.0142486 0.0216838
-0.00588293 -0.0142649 0.021706
-0.00587771 -0.01428 0.0217135
-0.00588018 -0.0142829 0.0217171
-0.00588547 -0.0142935 0.021733
-0.00589001 -0.0142955 0.0217441
-0.00590332 -0.0142944 0.0217436
-0.00591645 -0.0142993 0.0217285
-0.0059205 -0.0142991 0.0217125
-0.00592209 -0.0142935 0.0217277
-0.00592182 -0.0142884 0.0217539
-0.00591835 -0.0142884 0.0217709
-0.00591087 -0.014284 0.021778
-0.00591115 -0.014293 0.0217744
-0.00590472 -0.0143019 0.0217867
-0.00590702 -0.0142972 0.0217869
-0.00590967 -0.0142936 0.0217831
-0.00593499 -0.0142848 0.0217927
-0.0059471 -0.014288 0.0217846
-0.00594233 -0.0142944 0.0217706
-0.00594242 -0.0142946 0.0217493
-0.00593811 -0.0142852 0.0217334
-0.00592626 -0.0142917 0.0217425
-0.00592492 -0.0142969 0.0217337
-0.00592861 -0.0143037 0.0217359
-0.00592887 -0.0143131 0.0217455
-0.00592691 -0.0143214 0.0217577
-0.00593006 -0.0143325 0.0217721
-0.00593063 -0.0143358 0.0217869
-0.00592673 -0.0143399 0.0217748
-0.00592375 -0.0143421 0.0217496
-0.00592675 -0.0143452 0.0217344
-0.00594016 -0.0143519 0.0217406
-0.00594572 -0.0143672 0.0217337
-0.00595334 -0.0143816 0.0217192
-0.00595593 -0.0143843 0.0217137
-0.00596042 -0.0143954 0.021729
-0.00596265 -0.0143959 0.0217363
-0.00596143 -0.0144059 0.02172
-0.0059548 -0.0144161 0.0216954
-0.00595416 -0.0144162 0.0216857
-0.00595699 -0.0144171 0.0216845
-0.00595896 -0.0144177 0.0216874
-0.00595826 -0.0144185 0.0216847
-0.0059584 -0.0144303 0.0216868
-0.00594909 -0.0144402 0.0216871
-0.00595482 -0.0144454 0.0216884
-0.00595764 -0.0144411 0.0216837
-0.00595524 -0.0144386 0.0216826
-0.0059574 -0.0144413 0.0216784
-0.00594756 -0.014445 0.021686
-0.00594898 -0.0144382 0.0216819
-0.00595395 -0.014423 0.0216857
-0.00595078 -0.0144164 0.0216823
-0.00594675 -0.0144168 0.021678
-0.00594345 -0.0144116 0.0216776
-0.00593744 -0.0143963 0.0216719
-0.00592512 -0.0143968 0.0216636
-0.00591744 -0.0144057 0.0216623
-0.0059142 -0.0144075 0.021662
-0.0059217 -0.0144186 0.0216595
-0.00592143 -0.0144306 0.0216605
-0.00592689 -0.0144319 0.0216528
-0.00593979 -0.0144337 0.0216524
-0.00595051 -0.0144344 0.0216615
-0.00595578 -0.014432 0.0216829
-0.00595823 -0.0144259 0.0216865
-0.00596188 -0.0144237 0.0216891
-0.00595415 -0.0144307 0.0216817
-0.00595317 -0.0144372 0.0216702
-0.00595199 -0.0144354 0.0216548
-0.00594834 -0.0144311 0.0216416
-0.00593753 -0.0144176 0.0216381
-0.00593459 -0.0144078 0.0216444
-0.00592932 -0.0144014 0.0216467
-0.00592307 -0.0143974 0.0216721
-0.00592325 -0.0143981 0.0216788
-0.00591995 -0.0144027 0.0216882
-0.00591243 -0.0144089 0.0216928
-0.00589996 -0.0144165 0.0216876
-0.00588399 -0.0144169 0.0217022
-0.00587955 -0.0144071 0.0217116
-0.00587869 -0.0144063 0.0217061
-0.00587867 -0.0144039 0.0216964
-0.00588392 -0.0143967 0.021699
-0.005889 -0.0143848 0.0217088
