%roll pitch yaw
-0.00139866 0.00832709 -0.194883
-0.00152953 0.007793 -0.194482
-0.00171187 0.00728693 -0.194139
-0.00193857 0.00683694 -0.193825
-0.00220291 0.00644821 -0.193545
-0.00246481 0.00611398 -0.19332
-0.00272057 0.00581702 -0.193149
-0.00293528 0.00555672 -0.19301
-0.00311182 0.00532794 -0.192903
-0.00325591 0.00511858 -0.192861
-0.00337917 0.004949 -0.192863
-0.00351014 0.00480727 -0.192916
-0.00365922 0.00471373 -0.193019
-0.00383623 0.00464591 -0.193178
-0.00402471 0.00458548 -0.193426
-0.0042185 0.00454516 -0.193743
-0.00437447 0.00452528 -0.194121
-0.00448617 0.00452672 -0.194578
-0.0045503 0.0045382 -0.195068
-0.0045529 0.00455491 -0.195594
-0.00451487 0.00459426 -0.19614
-0.0044494 0.00467221 -0.196712
-0.00436971 0.00477902 -0.197299
-0.00427848 0.00491894 -0.197894
-0.00418396 0.0050785 -0.198478
-0.0041134 0.00527637 -0.199037
-0.00405704 0.00548558 -0.199602
-0.00402119 0.00570717 -0.200193
-0.00400914 0.00595087 -0.200773
-0.00400105 0.00618726 -0.201317
-0.0040106 0.00642804 -0.201859
-0.00404109 0.00666698 -0.202387
-0.0040497 0.006874 -0.202896
-0.00405925 0.00706938 -0.203357
-0.00408257 0.00723656 -0.203779
-0.00410224 0.00737041 -0.20417
-0.00409487 0.00747923 -0.20453
-0.00408205 0.00756657 -0.204849
-0.00409554 0.00763009 -0.205111
-0.0041466 0.00765466 -0.205332
-0.00420413 0.00761678 -0.205512
-0.00425941 0.00755765 -0.20566
-0.00432578 0.00747016 -0.205801
-0.0043989 0.00736322 -0.20594
-0.0044568 0.00726762 -0.206073
-0.00449416 0.00715262 -0.206225
-0.00449855 0.00703305 -0.206366
-0.00450199 0.00692147 -0.20649
-0.00448209 0.00682677 -0.206584
-0.00443395 0.00673893 -0.20667
-0.0043736 0.00663771 -0.206727
-0.00431812 0.00654454 -0.20676
-0.00428382 0.00644964 -0.206793
-0.00426684 0.0063664 -0.206827
-0.00426236 0.0062837 -0.206852
-0.0042607 0.0062234 -0.206897
-0.00425678 0.0061837 -0.206947
-0.00423406 0.00615516 -0.207014
-0.00422833 0.00616439 -0.207074
-0.00421697 0.00621579 -0.207144
-0.00419037 0.00625197 -0.207223
-0.00417222 0.00629517 -0.207293
-0.00415616 0.00636655 -0.207385
-0.00417568 0.00644308 -0.207473
-0.00415784 0.006524 -0.207539
-0.00411331 0.0066334 -0.207595
-0.00408062 0.00679219 -0.207652
-0.00404055 0.00692553 -0.207712
-0.00394839 0.00704968 -0.207772
-0.00386094 0.00721037 -0.207829
-0.00376192 0.00738286 -0.207902
-0.00364009 0.00754079 -0.207974
-0.00351813 0.00770523 -0.208065
-0.00338964 0.00790204 -0.208143
-0.00326265 0.00811319 -0.208212
-0.00313706 0.0082997 -0.208267
-0.00302648 0.00847325 -0.208327
-0.00290492 0.00863687 -0.208366
-0.0027876 0.00878706 -0.208384
-0.00268799 0.00891192 -0.208389
-0.00257574 0.00896717 -0.208371
-0.00246591 0.00897334 -0.208331
-0.00236081 0.00895426 -0.208278
-0.00223781 0.00889996 -0.208228
-0.00207455 0.0088077 -0.208184
-0.00190199 0.00865789 -0.208135
-0.00169928 0.00845476 -0.208104
-0.00147635 0.00822524 -0.208062
-0.00126383 0.00797799 -0.208018
