%roll pitch yaw
-0.00924352 0.00868 0.0614177
-0.00924099 0.00868059 0.0614038
-0.00923267 0.00867987 0.0614027
-0.00922879 0.00867581 0.0614176
-0.00923178 0.00867903 0.0614302
-0.00923906 0.00869609 0.0614349
-0.00924015 0.00871285 0.0614331
-0.00923891 0.00872831 0.0614343
-0.0092388 0.00872249 0.0614169
-0.00923647 0.00872079 0.0613882
-0.00923495 0.00872929 0.0613707
-0.00922669 0.00873218 0.0613588
-0.00922047 0.00875869 0.0613487
-0.00921428 0.0087749 0.061334
-0.00921475 0.00878249 0.0613298
-0.00921752 0.00879758 0.061329
-0.00921873 0.00880954 0.0613225
-0.0092129 0.00881951 0.0613182
-0.0092131 0.00882671 0.0613289
-0.00921163 0.00881949 0.0613248
-0.00921609 0.00882617 0.061314
-0.00922873 0.00882328 0.0613051
-0.0092374 0.00883345 0.0613009
-0.00923939 0.00884682 0.0613086
-0.00923969 0.00885937 0.0613178
-0.00924322 0.00886993 0.0613209
-0.00924681 0.00888292 0.0613356
-0.00924937 0.00890505 0.061351
-0.00925397 0.00892792 0.0613584
-0.00926124 0.00894717 0.0613595
-0.00927121 0.00896181 0.0613697
-0.00928054 0.00896014 0.0613757
-0.00928638 0.00895523 0.0613721
-0.00928836 0.00896802 0.061376
-0.00928654 0.00899219 0.0613816
-0.00928209 0.00900736 0.0613838
-0.00927093 0.00902193 0.061396
-0.00926985 0.00904307 0.0614098
-0.00926134 0.00907525 0.0614024
-0.00924865 0.0090954 0.0613879
-0.00924497 0.0091121 0.0613803
-0.00923076 0.00912192 0.0613954
-0.00921999 0.00913336 0.061405
-0.00922067 0.0091524 0.0614237
-0.00921821 0.00918296 0.0614317
-0.00922778 0.00921196 0.0614189
-0.00922863 0.00922382 0.061396
-0.00923044 0.00923784 0.061382
-0.00923525 0.00925415 0.0613751
-0.00923185 0.00926312 0.0613967
-0.00923499 0.00927796 0.0614212
-0.00923249 0.00929462 0.061437
-0.00923429 0.00931441 0.0614441
-0.00923397 0.00933448 0.0614446
-0.00922852 0.00935806 0.0614314
-0.00922688 0.00938434 0.0614217
-0.00923073 0.00940531 0.0614011
-0.00924781 0.00941782 0.0613915
-0.00925591 0.00943208 0.0613846
-0.00924631 0.00944376 0.0613763
-0.0092287 0.00946452 0.0614006
-0.00921805 0.00948762 0.0614149
-0.00919797 0.00949051 0.0614138
-0.00919378 0.00949962 0.0614117
-0.00919244 0.0095075 0.0614091
-0.00919882 0.0095182 0.0614098
-0.00920472 0.00954268 0.0614138
-0.00920812 0.00956141 0.06143
-0.00920758 0.00958559 0.0614448
-0.00921215 0.00959702 0.0614589
-0.00921633 0.00960367 0.0614561
-0.00922233 0.00961895 0.0614493
-0.00923067 0.00963319 0.0614344
-0.00924008 0.00965394 0.0614203
-0.00924768 0.00966633 0.0614204
-0.00925018 0.00967839 0.061433
-0.00926231 0.009688 0.0614492
-0.00927573 0.00969689 0.0614638
-0.00927835 0.00971587 0.0614728
-0.00927335 0.0097383 0.0614667
-0.0092754 0.00975126 0.0614425
-0.00928703 0.00976274 0.0614283
-0.00930416 0.00976239 0.0614123
-0.00930877 0.00976927 0.0613976
-0.00929851 0.0097854 0.0614009
-0.00930177 0.00978137 0.0614171
-0.00930352 0.00978717 0.061448
-0.00929637 0.00979414 0.0614619
-0.00929976 0.00981355 0.0614531
-0.00929098 0.00982192 0.0614467
-0.0092948 0.00983015 0.0614515
-0.00930002 0.00983361 0.0614664
-0.00930843 0.00983127 0.0614838
-0.00930851 0.00983856 0.0614876
-0.00931578 0.00984647 0.0614849
-0.00932272 0.00985673 0.0614729
-0.00933299 0.00987777 0.0614767
-0.00933849 0.00988564 0.061497
-0.00933724 0.0098797 0.0615113
-0.0093297 0.00986868 0.0615193
-0.00932869 0.00986593 0.0615177
-0.00933827 0.00987177 0.0615294
-0.00934038 0.00987927 0.0615342
-0.00934282 0.0098905 0.0615487
-0.009335 0.00990441 0.0615601
-0.00932978 0.00990676 0.0615642
-0.00932295 0.0099004 0.0615633
-0.00930818 0.00988608 0.0615713
-0.0093012 0.00986451 0.0615708
-0.00930777 0.00985555 0.0615658
-0.00931658 0.00985616 0.0615485
-0.00932596 0.00985204 0.0615295
-0.00931906 0.00984051 0.0615349
-0.00930743 0.00982554 0.0615359
-0.00929566 0.00981293 0.0615256
-0.00927631 0.00979701 0.0615052
-0.00926574 0.00978825 0.0614908
-0.0092699 0.00978457 0.0614876
-0.00928271 0.00978265 0.0614946
-0.00929043 0.00978273 0.0615091
-0.00928127 0.00977743 0.0615254
-0.00927326 0.00977027 0.0615297
-0.00927469 0.00976512 0.0615209
-0.00928081 0.00974955 0.0614919
