%roll pitch yaw
0.0274554 0.00231085 2.60775
0.0275376 0.00214459 2.60641
0.0276022 0.00200324 2.60509
0.0276642 0.00189187 2.60376
0.0277038 0.00178662 2.60244
0.0277234 0.00169884 2.60115
0.0277327 0.00163307 2.59984
0.0277308 0.00159466 2.59851
0.0277282 0.00158315 2.59719
0.0277039 0.00158423 2.59587
0.0276572 0.00160331 2.59454
0.027614 0.00163206 2.59323
0.0275566 0.00168718 2.59189
0.027482 0.00176829 2.59056
0.0273895 0.00185436 2.58924
0.0272907 0.0019504 2.58792
0.0271782 0.00206939 2.5866
0.027051 0.00221098 2.58527
0.0269173 0.00237447 2.58395
0.0267768 0.00255268 2.58261
0.0266167 0.0027494 2.58128
0.0264414 0.00296667 2.57996
0.026257 0.00319846 2.57865
0.0260714 0.00344943 2.57737
0.0258662 0.00371437 2.57608
0.0256534 0.00399932 2.57478
0.0254273 0.00430324 2.57349
0.0251977 0.00462492 2.57221
0.0249634 0.00496693 2.57094
0.0247195 0.00533407 2.56966
0.0244652 0.00571671 2.56841
0.0241997 0.00609991 2.56719
0.0239283 0.00648208 2.56595
0.0236516 0.00688556 2.56471
0.0233717 0.00731438 2.56348
0.0230889 0.00774567 2.56226
0.0228017 0.00819034 2.56104
0.0224522 0.00875005 2.55988
0.0221041 0.00931404 2.55873
0.0217534 0.00987095 2.55759
0.0213907 0.0104338 2.55645
0.0210347 0.0109981 2.55532
0.0206775 0.0115716 2.55419
0.0203195 0.0121581 2.55307
0.0199558 0.0127451 2.55196
0.0196006 0.0133327 2.55087
0.0192479 0.0139309 2.54978
0.0188957 0.0145207 2.54869
0.0185418 0.0151157 2.54759
0.0181799 0.0157107 2.54648
0.0178287 0.0163054 2.54537
0.0174906 0.0168906 2.54428
0.0171422 0.0174725 2.54319
0.0167813 0.0180433 2.54209
0.0164229 0.0186083 2.54098
0.0160836 0.0191743 2.53988
0.0157465 0.0197403 2.53878
0.0154118 0.0202991 2.53769
0.0150769 0.0208452 2.53659
0.0147398 0.0213898 2.53549
0.0144121 0.0219268 2.53437
0.0140881 0.0224702 2.53326
0.0137817 0.0229983 2.53216
0.0134763 0.0235245 2.53106
0.0131808 0.0240299 2.52994
0.0128767 0.0245292 2.52882
0.0125821 0.0250128 2.5277
0.0122981 0.0254898 2.52658
0.0120241 0.0259508 2.52545
0.0117506 0.0264007 2.52431
0.0114845 0.0268427 2.52315
0.0112248 0.0272726 2.52201
0.0109604 0.0276774 2.52087
0.0107096 0.0280697 2.51972
0.0104727 0.0284476 2.51856
0.010235 0.0288152 2.51739
0.0100222 0.0291645 2.51624
0.0098173 0.0294951 2.51508
0.00961228 0.0298179 2.51391
0.00941238 0.0301431 2.51274
0.00923427 0.0304442 2.51155
0.00905897 0.0307457 2.51037
0.0088826 0.0310167 2.50918
0.00872239 0.0312781 2.50799
0.00857586 0.0315209 2.50681
0.0084494 0.0317522 2.50563
0.00833437 0.0319715 2.50445
0.00822923 0.0321769 2.50326
0.00813124 0.0323671 2.50206
0.00805616 0.0325372 2.50086
0.00798571 0.0326934 2.49967
0.00791984 0.0328362 2.49847
0.00786722 0.0329689 2.49728
0.00781948 0.033089 2.49609
0.00779205 0.0331899 2.49489
0.00777533 0.0332616 2.49369
0.00776703 0.0333218 2.49249
0.00777526 0.033362 2.4913
0.00778197 0.0334089 2.49011
0.00780165 0.0334463 2.48892
0.00784163 0.0334611 2.48773
0.00788114 0.0334623 2.48654
0.00793028 0.0334467 2.48537
0.00798659 0.0334335 2.48419
0.0080455 0.0334076 2.48301
0.00811558 0.0333762 2.48184
0.0081873 0.0333301 2.48068
0.00826401 0.0332768 2.47955
0.00834599 0.033214 2.47843
0.00843353 0.0331373 2.47731
0.00853966 0.033038 2.47619
0.00864786 0.0329389 2.47507
0.00876002 0.0328289 2.47394
0.00888514 0.0327089 2.47284
0.00902257 0.0325919 2.47175
0.0091581 0.0324614 2.47065
0.00930008 0.0323298 2.46955
0.00945209 0.0321872 2.46847
0.0096083 0.0320502 2.4674
0.00977923 0.0319149 2.46633
0.009963 0.0317741 2.46528
0.0101511 0.0316408 2.46423
0.0103386 0.0315038 2.4632
0.0105341 0.0313729 2.46216
0.0107457 0.0312357 2.46114
0.0109521 0.0310971 2.46014
0.0111601 0.0309738 2.45914
0.0113702 0.0308573 2.45815
0.0115804 0.0307291 2.45719
0.011797 0.0306034 2.45625
0.012007 0.0304869 2.45532
0.0122226 0.030383 2.45438
0.0124435 0.0302861 2.45347
0.0126519 0.0301733 2.45256
0.0128585 0.0300697 2.45166
0.0130656 0.0299688 2.45077
0.0132707 0.0298715 2.4499
0.0134632 0.0297905 2.44903
0.0136596 0.0297155 2.44818
0.013858 0.0296577 2.44733
0.014056 0.0295841 2.4465
0.0142487 0.0295243 2.4457
0.0144413 0.0294731 2.44492
0.0146148 0.0294343 2.44414
0.0147674 0.0293959 2.44337
0.0149171 0.029368 2.44261
0.0150616 0.0293513 2.44188
0.0152084 0.0293531 2.44117
0.0153503 0.0293522 2.44044
0.0154776 0.0293682 2.43973
0.0155971 0.0293898 2.43904
0.0157089 0.029421 2.43837
0.0158105 0.0294657 2.43773
0.0159021 0.0295191 2.43709
0.0159775 0.0295886 2.43645
0.0160315 0.0296573 2.43583
0.0160787 0.0297368 2.43521
0.0161275 0.0298329 2.43461
0.0161596 0.0299341 2.434
0.0161835 0.0300348 2.4334
0.016192 0.0301556 2.43279
0.0162025 0.03029 2.4322
0.0161963 0.0304403 2.43162
0.0161864 0.0306022 2.43104
0.0161679 0.0307742 2.43048
0.0161254 0.0309527 2.42992
0.0160683 0.0311394 2.42936
0.0159969 0.0313411 2.42879
0.0159237 0.0315546 2.42823
0.015824 0.0317689 2.42766
0.0157087 0.0319885 2.4271
0.0155854 0.0322228 2.42653
0.015453 0.0324762 2.42598
0.0153084 0.0327381 2.42544
0.0151468 0.0330122 2.42488
0.0149812 0.0332898 2.42431
0.0147919 0.0335707 2.42375
0.014589 0.0338735 2.42319
0.0143689 0.0341888 2.42262
0.0141318 0.034511 2.42205
0.0138803 0.0348276 2.42148
0.0136204 0.0351602 2.42092
0.013339 0.0354979 2.42037
0.0130419 0.0358397 2.4198
0.0127356 0.0362035 2.41925
0.012428 0.036565 2.4187
0.0121047 0.0369214 2.41812
0.0117734 0.0372951 2.41754
0.0114344 0.0376764 2.41697
0.0110831 0.0380608 2.41638
0.0107303 0.0384414 2.4158
0.010358 0.0388315 2.41521
0.00996842 0.0392298 2.41462
0.00956252 0.0396416 2.41404
0.00914573 0.0400609 2.41346
0.00872228 0.0404883 2.41287
0.00829005 0.0409267 2.41227
0.00784448 0.0413822 2.41166
0.00738929 0.0418332 2.41106
0.00693732 0.042278 2.41046
0.00647904 0.0427225 2.40984
0.00599616 0.0431708 2.40921
0.00551033 0.0436298 2.40857
0.00502707 0.0440906 2.40794
0.00452083 0.0445523 2.40729
0.00402059 0.0450157 2.40665
0.00352232 0.0454747 2.40602
