%roll pitch yaw
0.0139785 0.0419814 -0.262853
0.0139762 0.0419849 -0.262906
0.0139845 0.0419808 -0.262961
0.0139841 0.041963 -0.263024
0.0139858 0.0419565 -0.263073
0.0139869 0.0419415 -0.263128
0.0139796 0.0419356 -0.263188
0.01398 0.0419153 -0.263247
0.014 0.0418996 -0.263311
0.0140304 0.0418749 -0.263355
0.0140602 0.0418685 -0.2634
0.0140788 0.0418437 -0.263463
0.0140897 0.041827 -0.263539
0.0140948 0.0418044 -0.263614
0.014101 0.0417851 -0.263674
0.0141129 0.0417671 -0.263732
0.0141201 0.041751 -0.263795
0.0141277 0.0417386 -0.263861
0.0141317 0.04172 -0.263912
0.0141376 0.0417044 -0.263954
0.0141482 0.0416917 -0.264009
0.0141459 0.0416784 -0.264073
0.0141562 0.0416663 -0.264119
0.0141666 0.0416465 -0.264168
0.0141787 0.041633 -0.264245
0.0141892 0.0416125 -0.264319
0.0141802 0.0415917 -0.264383
0.0141742 0.041573 -0.264453
0.014173 0.0415484 -0.264522
0.0141808 0.0415253 -0.264583
0.0141868 0.0415117 -0.264647
0.0141974 0.0414982 -0.26471
0.0141995 0.0414796 -0.264781
0.0141885 0.041467 -0.264849
0.0141898 0.0414355 -0.264924
0.0142129 0.0414199 -0.264999
0.0142354 0.0413898 -0.265081
0.0142537 0.0413542 -0.265163
0.0142611 0.0413331 -0.265247
0.0142577 0.0413138 -0.265316
0.0142648 0.0412892 -0.265374
0.014278 0.0412743 -0.265424
0.0142956 0.0412488 -0.265487
0.0143167 0.041232 -0.26555
0.0143383 0.0412059 -0.26561
0.0143491 0.0411954 -0.265668
0.0143689 0.0411811 -0.265731
0.0143764 0.0411578 -0.265785
0.0143797 0.041141 -0.265846
0.0143779 0.0411246 -0.265911
0.0143767 0.0411182 -0.265966
0.0143707 0.0410941 -0.266014
0.0143668 0.041065 -0.266084
0.0143675 0.0410538 -0.266149
0.0143654 0.0410434 -0.266232
0.0143618 0.0410328 -0.266302
0.014358 0.0410164 -0.266359
0.0143554 0.0409949 -0.266424
0.0143629 0.0409721 -0.266476
0.01436 0.0409564 -0.266541
0.0143633 0.040957 -0.266612
0.014375 0.0409553 -0.266676
0.0143926 0.0409472 -0.266736
0.0144041 0.0409335 -0.266801
0.0144014 0.0409262 -0.266856
0.0143902 0.0409184 -0.266928
0.0143873 0.040914 -0.267011
0.014389 0.0409139 -0.267087
0.0143825 0.0408975 -0.26716
0.0143718 0.0408892 -0.267241
0.0143748 0.0408915 -0.267334
0.014358 0.0408975 -0.267421
0.0143553 0.040905 -0.267477
0.0143413 0.0409034 -0.267537
0.0143371 0.0409055 -0.267598
0.014333 0.0409033 -0.267658
0.0143353 0.040908 -0.267713
0.0143461 0.0409031 -0.267759
0.0143621 0.0409058 -0.267815
0.0143688 0.040886 -0.267859
0.0143698 0.040884 -0.267911
0.0143592 0.0408889 -0.267967
0.0143452 0.0408978 -0.268035
0.0143404 0.0408992 -0.268095
0.0143299 0.0408964 -0.26815
0.0143265 0.040909 -0.268189
0.0143159 0.040917 -0.268229
0.0143085 0.0409301 -0.268283
0.0143103 0.040936 -0.268343
0.0143206 0.0409376 -0.268403
0.0143355 0.0409433 -0.268459
0.0143399 0.0409497 -0.268515
0.0143346 0.0409483 -0.268587
0.0143254 0.0409517 -0.268655
0.0143226 0.0409499 -0.268722
0.0143204 0.0409544 -0.268793
0.0143037 0.0409655 -0.268863
0.0142886 0.0409628 -0.268921
0.0142832 0.0409727 -0.268968
0.0142733 0.0409914 -0.269009
0.0142718 0.0410001 -0.269057
0.0142727 0.0410038 -0.269111
0.0142826 0.0410027 -0.269185
0.014285 0.0410103 -0.269257
0.0142818 0.0410247 -0.269325
0.0142757 0.0410346 -0.269389
0.0142637 0.0410433 -0.269451
0.0142562 0.0410544 -0.269523
0.0142419 0.0410652 -0.269596
0.0142355 0.0410752 -0.269655
0.0142235 0.0410788 -0.269723
0.0142211 0.0410915 -0.269797
0.0142235 0.0411035 -0.269867
0.0142285 0.0411222 -0.269933
0.014228 0.0411363 -0.269989
0.014229 0.0411441 -0.270066
0.0142294 0.0411693 -0.27015
0.0142317 0.0411875 -0.270223
0.0142358 0.0411917 -0.270281
0.0142382 0.0411991 -0.270336
0.0142283 0.0412034 -0.270406
0.0142184 0.0412108 -0.270482
0.0142022 0.0411971 -0.270544
0.0141824 0.0412003 -0.270592
0.0141662 0.0412021 -0.270644
0.014157 0.0412074 -0.270696
0.014158 0.0412131 -0.270739
0.0141661 0.0412237 -0.270778
0.0141695 0.0412302 -0.270817
0.0141703 0.041227 -0.270861
0.0141721 0.0412336 -0.270916
0.0141671 0.0412399 -0.270982
0.014157 0.0412512 -0.271045
0.0141426 0.0412447 -0.271101
0.0141427 0.0412437 -0.271144
0.0141691 0.0412486 -0.271203
0.0141796 0.0412385 -0.271266
0.014181 0.0412378 -0.271333
0.0141884 0.0412457 -0.271379
0.0141962 0.0412424 -0.271433
0.0141931 0.041239 -0.271498
0.0141906 0.0412337 -0.271566
0.0141968 0.0412206 -0.271628
0.0141989 0.0412224 -0.27168
0.0141839 0.0412239 -0.271739
0.0141662 0.0412367 -0.271793
0.0141601 0.0412294 -0.271867
0.0141668 0.0412229 -0.271945
0.0141734 0.0412191 -0.272022
0.0141819 0.0412048 -0.272099
0.0141844 0.0411933 -0.272156
0.0141781 0.0412014 -0.27221
0.0141719 0.0412049 -0.272259
