%roll pitch yaw
0.00615823 -0.00578583 -1.10836
0.00615982 -0.00579841 -1.10839
0.00615938 -0.0058129 -1.1084
0.00615225 -0.00583179 -1.10844
0.00615812 -0.00583422 -1.10849
0.006154 -0.00582421 -1.10853
0.00615154 -0.00581737 -1.10854
0.00614552 -0.00580455 -1.10855
0.00614133 -0.00578553 -1.10856
0.00613341 -0.00578143 -1.10858
0.00612764 -0.00578532 -1.10859
0.00612524 -0.00580257 -1.10861
0.00613231 -0.0058195 -1.10865
0.00613393 -0.00582984 -1.10869
0.00613925 -0.00584421 -1.10871
0.00613048 -0.00584705 -1.10874
0.00613724 -0.00583027 -1.10877
0.00613899 -0.00581382 -1.10878
0.00614876 -0.00579975 -1.10881
0.00615306 -0.0057821 -1.10884
0.00615641 -0.00576296 -1.10887
0.00615158 -0.00575861 -1.10891
0.00614039 -0.00577622 -1.10894
0.00613682 -0.0057896 -1.10897
0.00613848 -0.00580795 -1.109
0.00613786 -0.00581811 -1.10902
0.00614849 -0.00582909 -1.10906
0.00615855 -0.00583552 -1.10908
0.00615346 -0.00583285 -1.10909
0.00615878 -0.00581872 -1.10912
0.0061669 -0.00578913 -1.10913
0.00617815 -0.00577144 -1.10916
0.00618057 -0.00576378 -1.10918
0.00617769 -0.00576504 -1.1092
0.00618672 -0.00577356 -1.10923
0.00618953 -0.0057988 -1.10926
0.00619221 -0.00581649 -1.10928
0.00619202 -0.00582296 -1.10932
0.00618559 -0.00582522 -1.10934
0.00617876 -0.00581798 -1.10937
0.00617317 -0.00581809 -1.10941
0.00617457 -0.00580554 -1.10944
0.00618729 -0.00578925 -1.10945
0.00618842 -0.00577785 -1.10947
0.00619392 -0.00577143 -1.1095
0.0061903 -0.00576235 -1.10952
0.00618272 -0.00576595 -1.10955
0.00617514 -0.00578029 -1.10957
0.0061758 -0.00578626 -1.1096
0.00617791 -0.00580319 -1.10962
0.00617642 -0.00581517 -1.10965
0.00616972 -0.00581749 -1.10969
0.0061759 -0.00582092 -1.10972
0.0061745 -0.00581389 -1.10975
0.00617765 -0.00580681 -1.10977
0.00618712 -0.00579369 -1.1098
0.00618217 -0.00577505 -1.10983
0.00617799 -0.00577188 -1.10985
0.00617096 -0.00576517 -1.10987
0.00617951 -0.00577303 -1.10989
0.00617976 -0.00579298 -1.10991
0.00616197 -0.00580249 -1.10993
0.00616041 -0.00580701 -1.10994
0.00616195 -0.00579942 -1.10996
0.00616696 -0.00579974 -1.11
0.00615539 -0.00580535 -1.11002
0.00613959 -0.00579772 -1.11004
0.00612372 -0.0057827 -1.11006
0.00610188 -0.00576552 -1.11009
0.00609629 -0.00575595 -1.11011
