%roll pitch yaw
0.00103409 0.0074391 -0.879185
0.000830956 0.00841939 -0.880126
0.000782698 0.00902032 -0.881099
0.00045821 0.00972473 -0.882065
0.000339089 0.0100521 -0.883043
0.000774555 0.00974324 -0.884027
0.00143084 0.00923174 -0.884976
0.00224167 0.00853829 -0.885869
0.00316897 0.00771956 -0.886706
0.00410338 0.00683124 -0.887489
0.00502755 0.00589762 -0.888177
0.00591208 0.00489745 -0.888782
0.00674003 0.00385615 -0.889297
0.00730719 0.00301234 -0.889727
0.00777719 0.0022045 -0.890083
0.00812043 0.00140454 -0.890379
0.00834878 0.000644188 -0.890591
0.00857004 -0.000138924 -0.890744
0.00870322 -0.000835144 -0.890846
0.00875068 -0.00146292 -0.890902
0.00874732 -0.00203254 -0.89091
0.0085777 -0.00246486 -0.890868
0.00834689 -0.0028843 -0.89076
0.00800516 -0.00327392 -0.890612
0.00754651 -0.00361433 -0.89042
0.00711887 -0.00401369 -0.890209
0.00656457 -0.00436258 -0.889982
0.00590231 -0.00466204 -0.889746
0.00515084 -0.00491517 -0.889493
0.00433377 -0.00515312 -0.889216
0.00350133 -0.00536816 -0.888927
0.00269776 -0.00556577 -0.888608
0.00197391 -0.0057361 -0.888277
0.00113493 -0.00583751 -0.8879
0.000411532 -0.00592537 -0.88751
-0.000233228 -0.00599275 -0.887098
-0.000630254 -0.00613459 -0.886688
-0.00100215 -0.0062944 -0.886282
-0.00138203 -0.00647367 -0.885852
-0.00178649 -0.0066595 -0.885418
-0.00223147 -0.0068363 -0.885019
-0.00268615 -0.00699302 -0.884651
-0.00327498 -0.00708262 -0.884328
-0.00379753 -0.00717701 -0.884068
-0.00422528 -0.00727711 -0.883846
-0.00454496 -0.00738847 -0.883666
-0.00474264 -0.00752519 -0.883536
-0.00479589 -0.00770593 -0.883443
-0.00470963 -0.00792371 -0.883386
-0.00452435 -0.00818668 -0.883356
-0.00426232 -0.00849582 -0.883357
-0.00393279 -0.00880676 -0.883403
-0.00360254 -0.00910755 -0.883505
-0.00327008 -0.00941697 -0.883633
-0.0029606 -0.00974783 -0.883785
-0.00267815 -0.0101004 -0.883961
-0.00242443 -0.0104533 -0.884138
-0.00220674 -0.0108219 -0.884289
-0.00200428 -0.0111919 -0.884407
-0.00184738 -0.0115666 -0.884482
-0.00174321 -0.0118874 -0.884507
-0.00173559 -0.0121187 -0.884482
-0.00182226 -0.0122519 -0.884404
-0.00201568 -0.0122987 -0.884285
-0.00230529 -0.0123054 -0.884141
-0.00269874 -0.0123002 -0.883949
-0.00316476 -0.0122722 -0.883703
-0.00363027 -0.0121307 -0.883443
-0.00423017 -0.0119873 -0.883166
-0.00489291 -0.0117718 -0.882891
-0.00556666 -0.0114949 -0.882597
-0.00624536 -0.0111443 -0.88228
-0.00691251 -0.0107339 -0.88196
-0.00755029 -0.0102632 -0.881623
-0.00813006 -0.00975497 -0.881287
-0.00867591 -0.00923621 -0.880952
-0.00914898 -0.0087542 -0.880624
-0.00956575 -0.0083363 -0.880327
-0.00991974 -0.00798324 -0.880082
-0.010219 -0.00765932 -0.879877
-0.0104595 -0.00731158 -0.879723
-0.0106568 -0.0069135 -0.879633
-0.0107869 -0.00647895 -0.879607
-0.0108564 -0.00603602 -0.879625
-0.010885 -0.00560641 -0.879667
-0.0108526 -0.00520295 -0.879711
-0.0107901 -0.0048399 -0.879762
-0.0107089 -0.00453747 -0.879839
-0.0106247 -0.00433134 -0.879928
-0.0105288 -0.00420755 -0.880015
-0.0104504 -0.0041301 -0.880106
-0.0104028 -0.0040557 -0.880222
-0.0103934 -0.00397691 -0.880378
-0.0104317 -0.00388968 -0.880543
-0.0105078 -0.00381071 -0.880713
-0.0105902 -0.00371356 -0.880892
-0.0106997 -0.00360281 -0.881047
-0.01082 -0.00350191 -0.881176
-0.0109416 -0.00342851 -0.881254
-0.0110372 -0.00339481 -0.881296
