%roll pitch yaw
0.00159753 -0.0105581 -0.23076
0.00160403 -0.0105703 -0.230831
0.00159509 -0.0105951 -0.230899
0.00158421 -0.0106187 -0.230969
0.00156944 -0.0106219 -0.231032
0.00155902 -0.0106149 -0.23109
0.00156096 -0.0105941 -0.231143
0.00156823 -0.0105819 -0.231192
0.00156624 -0.0105625 -0.231229
0.00157774 -0.0105511 -0.231273
0.0015838 -0.0105578 -0.231325
0.00157569 -0.0105731 -0.231394
0.00156199 -0.010576 -0.231448
0.00156005 -0.0105718 -0.231509
0.00156758 -0.0105809 -0.231562
0.00158065 -0.010577 -0.231643
0.00159414 -0.0105729 -0.23173
0.00159114 -0.0105704 -0.231807
0.00158868 -0.010564 -0.231875
0.00158838 -0.0105597 -0.23194
0.00159128 -0.0105449 -0.232019
0.0015965 -0.0105174 -0.232089
0.00159606 -0.0105018 -0.232161
0.00159499 -0.0105087 -0.232219
0.00159617 -0.0105213 -0.232274
0.00160151 -0.010533 -0.232335
0.00159449 -0.0105446 -0.232394
0.00159141 -0.0105511 -0.232448
0.00158337 -0.0105436 -0.232503
0.00158673 -0.0105417 -0.232561
0.00159043 -0.0105403 -0.23264
0.00160424 -0.0105502 -0.23273
0.00161866 -0.0105704 -0.232802
0.0016244 -0.0105795 -0.23287
0.00163176 -0.0105842 -0.232944
0.00163804 -0.0105758 -0.233007
0.00163799 -0.0105615 -0.233077
0.00163173 -0.010557 -0.233157
0.00162793 -0.010557 -0.23322
0.00161307 -0.0105578 -0.233295
0.00160533 -0.0105644 -0.233376
0.00159952 -0.0105495 -0.233456
0.00160103 -0.010525 -0.233524
0.00160232 -0.0105075 -0.233589
0.0016083 -0.0104959 -0.233657
0.00161869 -0.0104899 -0.233719
0.00161882 -0.010488 -0.233776
0.00162345 -0.0105003 -0.233843
0.00162623 -0.0105231 -0.233906
0.00162571 -0.0105392 -0.233983
0.0016203 -0.0105378 -0.234036
0.00162896 -0.0105221 -0.234095
0.00163286 -0.0105051 -0.23416
0.00162623 -0.0104918 -0.234229
0.00162225 -0.0105085 -0.234309
0.00162184 -0.0105196 -0.234393
0.00161158 -0.0105299 -0.234459
0.00159805 -0.0105345 -0.234535
0.00159021 -0.0105249 -0.2346
0.00159806 -0.0105127 -0.234656
0.00159567 -0.0105017 -0.234712
0.00159444 -0.0104937 -0.234773
0.00159643 -0.0104878 -0.234847
0.00160276 -0.0104873 -0.234916
0.00160974 -0.0104836 -0.234988
0.00161271 -0.0104865 -0.235049
0.00160251 -0.0104933 -0.235104
0.00159566 -0.0105149 -0.235173
0.0015863 -0.0105379 -0.235245
0.00158292 -0.0105364 -0.235306
0.00158966 -0.0105265 -0.235376
0.00159174 -0.0105151 -0.235451
0.00159671 -0.0105054 -0.235522
0.00160032 -0.0105048 -0.235586
0.00159481 -0.0105189 -0.235638
0.00158731 -0.0105196 -0.235702
0.00158806 -0.010521 -0.235768
0.00158732 -0.0105135 -0.235821
0.0015865 -0.0105027 -0.23589
0.00157767 -0.0104942 -0.235967
0.00156548 -0.0104962 -0.236024
0.00156786 -0.0105101 -0.236072
