%roll pitch yaw
0.0069142 0.0175794 -0.371573
0.00773914 0.016905 -0.372789
0.00867311 0.0162883 -0.374025
0.00969093 0.0157288 -0.375234
0.0107438 0.0151698 -0.376406
0.0115714 0.0148231 -0.377527
0.0123339 0.0144634 -0.378589
0.0129732 0.0140385 -0.379583
0.013463 0.0135423 -0.380536
0.0138078 0.0130257 -0.381443
0.0140603 0.0124797 -0.382293
0.0142755 0.0119314 -0.38308
0.0144576 0.0113797 -0.383794
0.0146457 0.0108091 -0.384427
0.0148346 0.0101802 -0.38499
0.0149978 0.00950718 -0.385466
0.0151488 0.0088046 -0.385851
0.0152422 0.00809467 -0.386136
0.0152443 0.00735186 -0.386328
0.0151311 0.00659454 -0.386421
0.0150961 0.00574503 -0.386426
0.0149755 0.00491148 -0.386362
0.0146608 0.00415594 -0.386233
0.0143196 0.00343885 -0.386035
0.0139797 0.00272615 -0.385766
0.0136746 0.00203429 -0.385392
0.0134051 0.00141828 -0.384933
0.0131664 0.000877397 -0.384384
0.0129709 0.00036175 -0.383733
0.0127941 -0.000109313 -0.382972
0.0126342 -0.000515517 -0.382122
0.0125117 -0.00087222 -0.381199
0.0124104 -0.00117619 -0.380231
0.0122929 -0.00138868 -0.379254
0.0121916 -0.0015382 -0.37832
0.0121095 -0.00164913 -0.377422
0.0120414 -0.00169652 -0.376558
0.0119996 -0.00171873 -0.37573
0.0119887 -0.00174834 -0.37495
0.0120156 -0.00178208 -0.374208
0.0121075 -0.00181289 -0.373527
0.0122793 -0.00187518 -0.372899
0.0125127 -0.00194859 -0.37234
0.0128138 -0.00203615 -0.371849
0.0131791 -0.00214935 -0.371419
0.0136063 -0.00228586 -0.371069
0.0140712 -0.0024343 -0.370797
0.0145454 -0.00260394 -0.370618
0.0150195 -0.00280728 -0.370497
0.0154887 -0.00303078 -0.370412
0.0159367 -0.00326609 -0.370367
0.0163389 -0.00355692 -0.370325
0.0167124 -0.00393378 -0.370287
0.0170484 -0.00433969 -0.370259
0.0173137 -0.00475526 -0.370219
0.0175377 -0.00519514 -0.370195
0.0177024 -0.0056412 -0.370182
0.0177705 -0.00603721 -0.370172
0.0177657 -0.00638201 -0.370168
0.0176629 -0.00667775 -0.37016
0.0174765 -0.00693367 -0.370157
0.0172004 -0.00713603 -0.370133
0.0168436 -0.00731097 -0.370106
0.0164463 -0.00747362 -0.370054
0.0159988 -0.00760954 -0.369995
0.0155383 -0.00771854 -0.369945
0.0150838 -0.00782438 -0.369889
0.014628 -0.00792603 -0.369825
0.0141883 -0.00799248 -0.369767
0.0137666 -0.00800606 -0.369722
0.0133681 -0.008003 -0.369703
0.0129689 -0.00798219 -0.369689
0.0125739 -0.00795243 -0.369705
0.0121896 -0.00790333 -0.369745
0.0118226 -0.00785902 -0.369809
0.0114647 -0.00780867 -0.369902
0.0111446 -0.00775404 -0.370007
0.010872 -0.00771676 -0.370125
0.0106378 -0.00769739 -0.370249
0.0104538 -0.00769244 -0.37039
0.0102945 -0.00771335 -0.370529
0.010132 -0.00776753 -0.370685
0.00996646 -0.00783245 -0.370849
0.00981031 -0.00786999 -0.371016
0.00963547 -0.00789361 -0.371182
0.00942366 -0.00790526 -0.371331
0.00917438 -0.00792876 -0.37148
0.00888528 -0.00799807 -0.371623
0.00855463 -0.00811258 -0.37178
0.00819358 -0.00826122 -0.371938
0.0078003 -0.00843868 -0.372098
0.00738733 -0.00864226 -0.372247
0.00697895 -0.00882125 -0.372382
0.00655213 -0.00894235 -0.3725
0.00613483 -0.00902237 -0.3726
0.00576292 -0.00907445 -0.372663
0.00538853 -0.00910537 -0.372712
0.00501754 -0.00915234 -0.372757
0.00465327 -0.00923037 -0.372784
0.00426028 -0.009348 -0.372845
0.00381395 -0.00945175 -0.372949
0.00329532 -0.00950341 -0.373091
0.00273145 -0.00949717 -0.373263
0.00212702 -0.00942257 -0.373476
0.00149368 -0.00930798 -0.373713
0.000838291 -0.00920126 -0.373946
0.000199493 -0.00913751 -0.374196
-0.000403053 -0.00911687 -0.374457
-0.000984419 -0.00910299 -0.374728
-0.00152905 -0.00904988 -0.375
-0.0020439 -0.00896425 -0.375289
-0.00253909 -0.00886426 -0.375596
-0.00302696 -0.00877625 -0.37591
-0.00352203 -0.00869692 -0.37625
-0.00404961 -0.0086152 -0.376626
-0.00460332 -0.00853256 -0.377056
-0.0051844 -0.00841856 -0.377549
-0.00577897 -0.00829959 -0.378097
-0.00636178 -0.00824018 -0.378682
-0.00689656 -0.00825688 -0.379287
-0.00735842 -0.00827885 -0.379904
-0.00774049 -0.00824371 -0.380509
-0.00806721 -0.00814723 -0.381119
-0.00834128 -0.00802421 -0.381741
-0.00858753 -0.0078885 -0.382361
-0.00887045 -0.0078217 -0.383002
-0.00920107 -0.00787376 -0.383654
-0.00956984 -0.0080293 -0.384294
-0.00997718 -0.00824988 -0.384936
-0.0104125 -0.00852525 -0.385539
-0.010858 -0.00884222 -0.386093
-0.0112889 -0.00917689 -0.386572
-0.0117155 -0.00952828 -0.386977
-0.0121877 -0.00995022 -0.387345
-0.0127178 -0.0104293 -0.387693
-0.0132408 -0.0109354 -0.38803
-0.0136902 -0.0113568 -0.38834
-0.0136594 -0.0111777 -0.38859
-0.0133968 -0.010621 -0.388784
-0.0128709 -0.0096334 -0.388917
-0.0120614 -0.00822048 -0.389007
-0.0109814 -0.00638359 -0.389046
-0.00968048 -0.0042028 -0.38906
-0.0082494 -0.00185356 -0.389037
-0.00678697 0.000664076 -0.388965
-0.00534438 0.00316923 -0.388842
-0.00410294 0.00533384 -0.388709
-0.00307366 0.00733103 -0.388571
-0.00224572 0.00913847 -0.388421
-0.00159351 0.0107543 -0.388248
-0.00109038 0.0121765 -0.38804
-0.000708612 0.0133494 -0.387794
-0.000429248 0.0142391 -0.38752
-0.000236398 0.0148614 -0.387204
9.14409e-05 0.015661 -0.386829
0.000326748 0.0161912 -0.386375
0.000461349 0.0164523 -0.385816
0.000300858 0.0162498 -0.385157
4.06666e-05 0.0159486 -0.384416
-0.000335839 0.0156285 -0.383596
-0.00083456 0.0153347 -0.382716
-0.00147126 0.0150722 -0.381819
-0.00201683 0.0150123 -0.380941
-0.00263205 0.0149506 -0.380106
-0.00330295 0.014864 -0.379308
-0.00395879 0.0147762 -0.378565
-0.00453922 0.0146622 -0.37787
-0.00500567 0.014526 -0.377213
-0.00539669 0.0143542 -0.376597
-0.00570429 0.0141437 -0.376001
-0.00591308 0.0138838 -0.375447
-0.00603028 0.0135878 -0.374931
-0.0060856 0.0132471 -0.374475
-0.00605283 0.0128442 -0.374084
-0.00593547 0.012368 -0.373735
