%roll pitch yaw
-0.00235527 7.63334e-05 -0.0755971
-0.0023572 8.87457e-05 -0.0756299
-0.00234482 0.000106639 -0.0756475
-0.00233322 0.000119801 -0.0756676
-0.00232792 0.000133953 -0.0756874
-0.00232352 0.000141598 -0.0757132
-0.00232245 0.000132495 -0.0757372
-0.00232056 0.000120973 -0.0757686
-0.00232423 0.000107641 -0.0757994
-0.00234333 9.75072e-05 -0.0758359
-0.00236057 9.43887e-05 -0.0758776
-0.00236932 8.60758e-05 -0.0759248
-0.00237174 8.38709e-05 -0.0759737
-0.00236178 8.80021e-05 -0.0760128
-0.00234892 0.000101452 -0.0760637
-0.00235252 0.000111951 -0.0761028
-0.00235026 0.00012589 -0.0761381
-0.00234472 0.000127844 -0.0761688
-0.00234701 0.00010795 -0.0762082
-0.00234357 8.72318e-05 -0.0762331
-0.00234904 7.26247e-05 -0.0762655
-0.00235315 7.16653e-05 -0.076297
-0.00237005 6.73671e-05 -0.0763307
-0.00237334 6.29925e-05 -0.07635
-0.00237416 6.62216e-05 -0.0763828
-0.00237482 8.42006e-05 -0.0764244
-0.00237186 0.000101673 -0.0764749
-0.00236975 0.000110094 -0.0765272
-0.00236864 0.000115396 -0.0765705
-0.00237114 0.000113231 -0.0766011
-0.00237277 0.000105189 -0.0766448
-0.00237645 9.58835e-05 -0.0766765
-0.00237284 9.21083e-05 -0.0766992
-0.00238542 8.71611e-05 -0.076722
-0.00238204 9.25994e-05 -0.0767573
-0.00237776 0.000106236 -0.0767835
-0.00237128 0.000118138 -0.0767909
-0.00237506 0.000125358 -0.0768068
-0.00237711 0.000126957 -0.0768274
-0.00237381 0.000126513 -0.0768618
-0.00237445 0.00011095 -0.0769043
-0.00237281 8.885e-05 -0.0769488
-0.00235785 8.87742e-05 -0.0769871
-0.00237107 0.000102713 -0.077027
-0.0023669 0.000116781 -0.0770655
-0.00236692 0.000120686 -0.0770913
-0.00236999 0.000112221 -0.0771321
-0.00236903 0.000108381 -0.0771563
-0.00236229 0.000104586 -0.0771698
-0.00236625 0.000119855 -0.0772013
-0.00236185 0.000132081 -0.0772347
-0.00236552 0.000131935 -0.07727
-0.00238762 0.000124261 -0.0772867
-0.00240901 0.000103379 -0.0773103
-0.00241794 0.000100549 -0.0773247
-0.00241761 0.000110809 -0.0773453
-0.00241039 0.000128285 -0.0773859
-0.00240216 0.000128258 -0.0774257
-0.00239886 0.000114969 -0.0774622
-0.00239236 0.000104524 -0.0775203
-0.00239508 0.000103542 -0.077567
-0.00238624 0.000126615 -0.0776114
-0.00239518 0.000149369 -0.0776441
-0.00239125 0.000154547 -0.0776967
-0.0023803 0.000157689 -0.0777572
-0.00236761 0.000153448 -0.0778193
-0.00237849 0.000129311 -0.0778719
-0.0023963 0.00010844 -0.077928
-0.00240036 9.09497e-05 -0.0779712
-0.00239772 8.66572e-05 -0.0779988
-0.00239499 9.26538e-05 -0.0780196
-0.00239132 0.000116951 -0.0780319
-0.00238656 0.000138207 -0.0780585
-0.00239324 0.000148205 -0.0780741
-0.0024001 0.000165971 -0.078088
-0.00241294 0.000172268 -0.078108
-0.00242034 0.000163519 -0.0781395
-0.0024237 0.000146253 -0.0781678
-0.00242855 0.000130479 -0.0781966
-0.00242332 0.000124555 -0.0782266
-0.00241767 0.000111767 -0.0782705
-0.00240234 0.00011581 -0.0783058
-0.00240245 0.000119755 -0.0783271
-0.00240435 0.000137612 -0.0783564
-0.00241104 0.000163559 -0.0784026
-0.00241248 0.000178467 -0.0784384
-0.00242437 0.000183105 -0.0784895
-0.00242545 0.000190641 -0.078547
-0.00242208 0.000199919 -0.0785914
-0.00241368 0.000205724 -0.0786405
-0.00240504 0.000198132 -0.0786835
-0.00239933 0.000179572 -0.0787088
-0.00239601 0.000162471 -0.0787293
-0.00238938 0.000159841 -0.0787438
-0.00237948 0.000169441 -0.0787614
-0.00239372 0.000175156 -0.0787922
-0.002406 0.000192222 -0.0788273
-0.00241638 0.00020254 -0.0788466
-0.00241414 0.000205243 -0.0788741
-0.00240376 0.000199746 -0.0788992
-0.00240192 0.000201431 -0.0789331
-0.00241245 0.00019398 -0.078972
-0.00242776 0.000179004 -0.0790145
-0.00242528 0.000169205 -0.0790505
-0.00243091 0.000185542 -0.0790677
-0.0024403 0.00021525 -0.0790999
-0.00243678 0.000239988 -0.0791144
-0.00243488 0.000238594 -0.0791515
-0.00243482 0.000220729 -0.0791874
-0.00243785 0.000203633 -0.0792141
-0.00242516 0.000203641 -0.0792189
-0.00241225 0.00021123 -0.0792262
-0.00239477 0.000222667 -0.0792644
-0.00239354 0.000220236 -0.0793039
-0.00239605 0.000205317 -0.07934
-0.00238811 0.000202823 -0.0793763
-0.00238856 0.000195544 -0.0794032
-0.00238892 0.000179512 -0.0794369
-0.00238422 0.000163957 -0.0794737
-0.00237317 0.000152281 -0.0795187
-0.0023798 0.0001627 -0.0795725
-0.00238339 0.000183744 -0.0796168
-0.00239029 0.000189045 -0.0796543
-0.00238797 0.000174152 -0.0796862
-0.00239489 0.000163383 -0.0796895
-0.00240444 0.000156653 -0.0797123
-0.00242285 0.000155917 -0.0797423
-0.0024279 0.000170537 -0.0797805
-0.00242603 0.000193542 -0.0798162
-0.00242604 0.000213332 -0.0798451
-0.00243783 0.000224676 -0.0798849
-0.00244111 0.000219922 -0.0799257
-0.00245027 0.000209046 -0.0799671
-0.00244874 0.000198452 -0.080001
-0.00245514 0.000191881 -0.080035
-0.00244886 0.000196195 -0.0800581
-0.00244281 0.000196021 -0.0800799
-0.00243851 0.000207415 -0.0801166
-0.00242685 0.000232278 -0.0801429
-0.00241414 0.000251622 -0.0801699
-0.00240464 0.000264172 -0.0802018
-0.0024039 0.000263388 -0.0802387
-0.00239661 0.000257586 -0.0802814
-0.00240135 0.000247972 -0.0803277
-0.00239995 0.000231118 -0.0803781
-0.00240332 0.000221458 -0.0804115
-0.002417 0.000220886 -0.0804461
-0.00242748 0.000215621 -0.0804792
-0.00244075 0.000215667 -0.08052
-0.00245096 0.000228429 -0.0805491
-0.00246024 0.00024806 -0.0805748
-0.00247178 0.000264759 -0.0806113
-0.00247624 0.000270791 -0.0806366
-0.00246731 0.000273125 -0.0806814
-0.00246433 0.000259588 -0.0807139
-0.00245864 0.000242678 -0.0807388
-0.00245987 0.000234218 -0.0807765
-0.00245589 0.000234771 -0.0808152
-0.00246262 0.000238975 -0.0808497
-0.00245317 0.000256134 -0.0808897
-0.0024562 0.000272427 -0.0809176
-0.00245522 0.000286467 -0.080944
-0.00245331 0.000284575 -0.0809553
-0.00245795 0.000274484 -0.0809613
-0.00245798 0.000258048 -0.0809919
-0.00245901 0.000251278 -0.0810422
-0.00246815 0.000249502 -0.0810839
-0.00246192 0.000274104 -0.0811264
-0.0024501 0.000288289 -0.0811737
-0.00244138 0.000301525 -0.0812188
-0.00244667 0.000306265 -0.081262
-0.00245753 0.000290768 -0.0812964
