%roll pitch yaw
0.00445451 0.0261961 -1.09534
0.00443939 0.0261873 -1.09541
0.00441893 0.0261827 -1.09546
0.00440183 0.0261793 -1.0955
0.00438222 0.0261798 -1.09554
0.00436483 0.0261746 -1.09559
0.00434559 0.026172 -1.09566
0.00431839 0.0261692 -1.09574
0.00429191 0.0261736 -1.09581
0.00427158 0.0261623 -1.09587
0.0042625 0.0261508 -1.09592
0.00425901 0.0261443 -1.09596
0.00426052 0.0261348 -1.09602
0.00426225 0.0261308 -1.09609
0.00426232 0.026114 -1.09614
0.00427041 0.0260971 -1.0962
0.00426907 0.0260994 -1.09628
0.00425578 0.0260972 -1.09638
0.00426274 0.0260879 -1.09647
0.00425781 0.0260758 -1.09656
0.00425842 0.0260654 -1.09664
0.00425497 0.0260626 -1.09671
0.0042516 0.0260549 -1.09678
0.00423546 0.0260413 -1.09684
0.00420842 0.0260452 -1.09689
0.00417852 0.0260471 -1.09694
0.00414514 0.0260541 -1.097
0.00412408 0.0260617 -1.09705
0.00410171 0.0260646 -1.09711
0.00406698 0.0260606 -1.09716
0.00403475 0.0260625 -1.09722
0.00401819 0.026059 -1.09729
0.00399475 0.0260527 -1.09735
0.00397607 0.0260381 -1.0974
0.00396314 0.026022 -1.09746
0.00394517 0.026016 -1.09755
0.00393398 0.0260207 -1.09763
0.00392903 0.0260093 -1.09771
0.00392914 0.0259966 -1.09779
0.00392989 0.0260059 -1.09786
0.00392848 0.0260122 -1.09792
0.00390937 0.0260103 -1.09798
0.00388134 0.0259965 -1.09805
0.00385344 0.025991 -1.09814
0.00382451 0.0259822 -1.09824
0.00378255 0.0259707 -1.09834
0.0037358 0.0259633 -1.09841
0.0037032 0.0259595 -1.09848
0.0036699 0.0259575 -1.09855
0.00363141 0.0259478 -1.09865
0.00359127 0.0259253 -1.09874
0.00355868 0.0259112 -1.09884
0.00353343 0.0259039 -1.09892
0.00352213 0.0259013 -1.099
0.00351145 0.0258949 -1.09908
0.00350529 0.0258904 -1.09915
0.00348888 0.0258884 -1.09924
0.00346672 0.0258942 -1.09932
0.003452 0.0258889 -1.09939
0.00343166 0.025884 -1.09946
0.0034195 0.0258845 -1.09952
0.00340961 0.0258794 -1.09958
0.00339138 0.0258748 -1.09964
0.00336687 0.0258679 -1.09969
0.00332317 0.0258582 -1.09975
0.00327636 0.025866 -1.09982
0.00322174 0.0258587 -1.09987
0.0031707 0.0258493 -1.09993
0.00312735 0.0258486 -1.09999
0.0030878 0.0258559 -1.10002
0.00304071 0.0258616 -1.10006
0.00299501 0.0258628 -1.10009
0.0029486 0.0258498 -1.10012
0.0029091 0.02584 -1.10016
0.00288612 0.0258368 -1.10021
0.00286946 0.0258469 -1.10027
0.00286195 0.0258608 -1.10034
0.00286776 0.0258683 -1.10039
0.00287751 0.0258722 -1.10044
0.00287973 0.0258714 -1.10051
0.00287309 0.0258562 -1.10058
0.00286028 0.0258447 -1.10067
0.00285133 0.0258423 -1.10076
0.00283262 0.0258421 -1.10084
0.00280871 0.0258399 -1.10092
0.00276763 0.0258323 -1.10098
0.00269997 0.0258315 -1.10105
0.00262695 0.0258302 -1.10112
0.00254169 0.0258239 -1.1012
0.00245426 0.0258123 -1.10127
0.00237871 0.0258092 -1.10134
0.00231442 0.0258023 -1.10142
0.00226649 0.0258045 -1.10147
0.00221261 0.0258056 -1.10153
0.00216393 0.0258062 -1.1016
0.00212229 0.0258093 -1.10166
0.00206962 0.0258099 -1.10173
0.00203557 0.0258084 -1.10181
0.00199898 0.0258143 -1.10188
0.00195296 0.0258192 -1.10196
0.00193615 0.0258124 -1.10202
0.00191834 0.0258071 -1.10207
0.00189639 0.0258009 -1.10213
0.00187722 0.0257989 -1.10219
0.00185583 0.025796 -1.10226
0.00183867 0.0258044 -1.10232
0.00182094 0.025806 -1.10237
0.00179834 0.025807 -1.10242
0.00175532 0.0258072 -1.10248
0.00170742 0.025798 -1.10255
0.00165044 0.0257896 -1.10261
0.00158455 0.0257788 -1.10268
0.00151199 0.0257778 -1.10275
0.00142425 0.0257817 -1.10282
0.00132558 0.0257757 -1.1029
0.0012293 0.0257706 -1.10296
0.00114392 0.0257687 -1.10302
0.00105892 0.0257645 -1.10308
0.000981778 0.0257449 -1.10316
0.000918596 0.0257353 -1.10324
0.000879378 0.0257287 -1.10331
0.000850036 0.0257271 -1.10337
0.000811326 0.0257326 -1.10344
0.000763756 0.0257354 -1.1035
0.000729105 0.0257433 -1.10356
0.000739869 0.0257631 -1.10363
0.00080996 0.0257862 -1.10368
0.000970526 0.0258086 -1.10371
0.00124552 0.0258231 -1.10375
0.00165458 0.0258231 -1.10381
0.00220788 0.0258098 -1.10385
0.00289153 0.0257839 -1.1039
0.00370396 0.0257442 -1.10394
0.00459235 0.0256786 -1.10398
