%roll pitch yaw
0.0028678 -0.0116279 -0.167674
0.00286625 -0.0116314 -0.167669
0.00286357 -0.0116426 -0.167668
0.00286576 -0.0116664 -0.167671
0.00285302 -0.0116795 -0.167689
0.00284404 -0.0116803 -0.167701
0.00284237 -0.0116859 -0.167703
0.00283733 -0.0116808 -0.167718
0.00283085 -0.0116775 -0.16774
0.00283413 -0.0116746 -0.167765
0.00283939 -0.0116704 -0.167778
0.00285323 -0.0116666 -0.167778
0.00285272 -0.0116704 -0.167786
0.002849 -0.0116819 -0.167803
0.00284868 -0.0116878 -0.167809
0.0028594 -0.0116873 -0.167823
0.00286339 -0.0116847 -0.167841
0.00286199 -0.0116774 -0.167868
0.00286373 -0.0116614 -0.167887
0.00285967 -0.0116596 -0.167899
0.00286229 -0.0116593 -0.167912
0.0028669 -0.0116603 -0.167932
0.00287533 -0.0116828 -0.167956
0.00287149 -0.0116948 -0.167971
0.00286749 -0.0117035 -0.167985
0.00286918 -0.0117036 -0.167998
0.0028705 -0.0116873 -0.168008
0.00286854 -0.0116734 -0.16801
0.00287341 -0.0116743 -0.168013
0.00287927 -0.0116782 -0.168004
0.00288895 -0.0116915 -0.167995
0.00288156 -0.011689 -0.167989
0.00287845 -0.0116834 -0.167995
0.00287691 -0.0116741 -0.168012
0.00287082 -0.0116837 -0.168021
0.0028674 -0.0116817 -0.16803
0.00286523 -0.0116776 -0.168033
0.00286135 -0.011667 -0.168032
0.00285471 -0.0116661 -0.168022
0.00285496 -0.0116753 -0.168015
0.0028579 -0.01167 -0.168025
0.0028471 -0.011662 -0.168031
0.00284994 -0.011647 -0.168054
0.00285274 -0.0116355 -0.168084
0.00284759 -0.0116368 -0.168095
0.0028469 -0.011643 -0.168103
0.00284176 -0.0116401 -0.168111
0.00283837 -0.0116376 -0.168112
0.00283303 -0.011636 -0.168113
0.00282798 -0.0116363 -0.168113
0.00283635 -0.0116375 -0.168118
0.00283918 -0.0116503 -0.168124
0.002836 -0.0116526 -0.168136
0.00285303 -0.0116471 -0.168154
0.00285404 -0.0116441 -0.168154
0.00284852 -0.01165 -0.168149
0.00284619 -0.0116542 -0.168157
0.00284538 -0.0116496 -0.168164
0.00285241 -0.0116403 -0.168166
0.0028546 -0.0116244 -0.168173
0.00285616 -0.0116043 -0.16819
0.00285175 -0.0115893 -0.168225
0.00284938 -0.0115829 -0.168241
0.00285062 -0.0115739 -0.168255
0.0028452 -0.0115715 -0.168254
0.00283316 -0.0115749 -0.168259
0.00281896 -0.0115773 -0.168271
0.00281347 -0.0115872 -0.168294
0.00282168 -0.0116034 -0.168314
0.00282394 -0.0116007 -0.168321
0.00281677 -0.0115834 -0.168318
0.0028094 -0.0115691 -0.168322
0.0028046 -0.0115756 -0.168332
0.00281175 -0.0115879 -0.168319
0.00281034 -0.0115951 -0.168294
