%roll pitch yaw
0.0024315 -0.00168734 2.44025
0.00242761 -0.00170254 2.44017
0.00242694 -0.00171903 2.44008
0.00242192 -0.00172139 2.44
0.00242603 -0.00171817 2.43992
0.00243572 -0.00172461 2.43985
0.00244928 -0.00173494 2.43978
0.00245653 -0.0017552 2.4397
0.00246244 -0.00176796 2.43961
0.00246092 -0.00179413 2.43952
0.00247039 -0.00181422 2.43943
0.00246362 -0.00183377 2.43936
0.00245765 -0.00185073 2.43929
0.00246338 -0.0018595 2.43922
0.00246878 -0.00186517 2.43912
0.00247791 -0.0018798 2.43905
0.0024863 -0.00189053 2.43897
0.00248778 -0.00191729 2.43889
0.00248727 -0.00193951 2.4388
0.00249278 -0.0019627 2.43872
0.00250478 -0.00197941 2.43866
0.00251145 -0.00198798 2.4386
0.00250713 -0.0020018 2.43852
0.00251009 -0.00201163 2.43844
0.00250717 -0.00202315 2.43836
0.00249459 -0.00203439 2.43829
0.00248768 -0.00205503 2.43822
0.00248583 -0.00208253 2.43814
0.00247496 -0.00211442 2.43807
0.00247151 -0.00215338 2.438
0.00246706 -0.00217479 2.43793
0.00246301 -0.00219189 2.43785
0.00246276 -0.00221757 2.43777
0.00245508 -0.00224718 2.43767
0.00245 -0.00226664 2.43756
0.00244866 -0.00228048 2.43746
0.0024518 -0.00229632 2.43738
0.00245437 -0.00231598 2.43731
0.00245219 -0.00233652 2.43722
0.00245173 -0.00235917 2.43713
0.00243725 -0.00239066 2.43705
0.00243153 -0.00241724 2.43696
0.00243956 -0.00243956 2.43687
0.00244635 -0.0024436 2.43679
0.00244914 -0.00244786 2.43671
0.00244372 -0.00246108 2.43664
0.00243728 -0.00247624 2.43659
0.0024279 -0.0024981 2.43652
0.00242521 -0.00252401 2.43644
0.00243309 -0.00255252 2.43633
0.00244186 -0.00257317 2.43623
0.00244478 -0.00258914 2.43614
0.00245082 -0.00259141 2.43606
0.00244951 -0.00259681 2.43599
0.00244302 -0.00261135 2.43591
0.00243091 -0.00263572 2.43583
0.00243187 -0.00266073 2.43574
0.0024425 -0.0026817 2.43565
0.00244429 -0.00269704 2.43556
0.00243881 -0.00271115 2.43546
0.00243382 -0.00272616 2.43536
0.00242546 -0.00273573 2.43527
0.00241727 -0.00275425 2.43519
0.00240761 -0.00276744 2.43508
0.00239484 -0.00278045 2.43498
0.00239073 -0.00279622 2.43489
0.0023905 -0.00280931 2.4348
0.0023907 -0.00282736 2.43471
0.00238761 -0.00284024 2.43463
0.00239066 -0.00284536 2.43456
0.00239438 -0.00286082 2.43448
0.00240013 -0.00287149 2.43441
0.0023928 -0.00287611 2.43434
0.00239082 -0.00286994 2.43425
0.0024005 -0.0028662 2.43416
0.00241168 -0.0028677 2.43406
0.00242832 -0.002889 2.43397
0.00242871 -0.00290761 2.43389
0.00242794 -0.00291788 2.43381
0.00242456 -0.00292657 2.43372
0.00241494 -0.00293232 2.43363
0.00240888 -0.00293815 2.43356
0.00240977 -0.00292885 2.43349
0.00241793 -0.00292192 2.43341
0.00242765 -0.00293349 2.43334
0.00243322 -0.00293708 2.43327
0.0024357 -0.00294087 2.43319
0.00243335 -0.00294701 2.43313
0.00243116 -0.00294748 2.43307
0.00242282 -0.00294593 2.43301
0.00241337 -0.00292933 2.43294
0.0024093 -0.00291081 2.43287
0.00241262 -0.00288964 2.43278
0.0024154 -0.00288467 2.43268
0.00241927 -0.00288267 2.43259
0.0024154 -0.0028837 2.43251
0.00241654 -0.00288245 2.43242
0.00241144 -0.00287478 2.43235
0.00241821 -0.00287338 2.43229
0.00243257 -0.00286304 2.4322
0.00244252 -0.00284417 2.43212
0.00243522 -0.00283067 2.43204
0.00242777 -0.00282627 2.43198
0.00242956 -0.00282768 2.43191
0.00242843 -0.00281989 2.43185
0.00242786 -0.00281831 2.43177
0.00243665 -0.00282366 2.43169
0.00244675 -0.00281903 2.43159
0.00244597 -0.00280644 2.4315
0.002443 -0.00278373 2.43141
0.00244035 -0.00276378 2.43133
0.00243839 -0.00274157 2.43124
0.00244374 -0.00271915 2.43114
0.00245274 -0.00270575 2.43105
0.00245991 -0.00269055 2.43097
0.00244826 -0.00266001 2.43089
0.00244563 -0.00263428 2.43079
0.00243801 -0.00260967 2.43068
0.00242297 -0.00257659 2.43062
0.00241673 -0.00253042 2.43054
0.00243138 -0.00248728 2.43045
0.00243035 -0.00247057 2.43038
0.00243267 -0.00246022 2.43031
0.00242352 -0.00245815 2.43026
0.00241667 -0.00243851 2.43019
0.00240276 -0.00241247 2.43011
0.00239129 -0.00238466 2.43003
0.00238954 -0.00235528 2.42994
0.00238719 -0.00232315 2.42987
0.00239299 -0.00229493 2.42979
0.00239535 -0.00227073 2.4297
0.00240091 -0.00225464 2.42961
0.00240973 -0.00224356 2.42952
0.00240736 -0.00222113 2.42944
0.00239912 -0.00219494 2.42936
0.00238274 -0.00216901 2.42928
0.00237345 -0.00213989 2.42922
