%roll pitch yaw
0.00898698 -0.00815692 -0.323592
0.00910997 -0.00835309 -0.323494
0.00931255 -0.00853998 -0.323453
0.00958316 -0.00875756 -0.323446
0.00992849 -0.00897171 -0.32348
0.0103555 -0.00917699 -0.32355
0.0108438 -0.00941158 -0.32362
0.0113709 -0.00963088 -0.323714
0.0118878 -0.00986339 -0.323831
0.0123556 -0.0101054 -0.323967
0.0127794 -0.0103707 -0.324147
0.0131565 -0.010634 -0.324335
0.0135288 -0.0109006 -0.324534
0.0139037 -0.0111484 -0.324746
0.0142661 -0.0114145 -0.324959
0.0145846 -0.0116411 -0.325178
0.0148449 -0.0119064 -0.325402
0.014988 -0.0121168 -0.325631
0.0150711 -0.0123381 -0.325851
0.0150611 -0.0125355 -0.326056
0.0150115 -0.012771 -0.326267
0.0149212 -0.0129604 -0.326472
0.0148012 -0.0131741 -0.326667
0.0146742 -0.0133449 -0.326861
0.0145174 -0.0135355 -0.327057
0.0143551 -0.0136929 -0.327258
0.0141549 -0.0138594 -0.327441
0.0139306 -0.0140114 -0.327608
0.0136954 -0.0141699 -0.32777
0.0134953 -0.0142657 -0.327924
0.0133462 -0.0143874 -0.328066
0.0132348 -0.0144469 -0.328194
0.0131172 -0.0145161 -0.328328
0.0129605 -0.0145344 -0.328474
0.0127695 -0.0145593 -0.32863
0.0125808 -0.0145374 -0.328794
0.0124161 -0.0145108 -0.32896
0.0122886 -0.014465 -0.329132
0.0122367 -0.014448 -0.329283
0.0122698 -0.0144263 -0.329422
0.0123335 -0.0143966 -0.32952
0.0123897 -0.01433 -0.329576
0.0124534 -0.0143071 -0.329618
0.0125354 -0.0142662 -0.329636
0.0126186 -0.014273 -0.329634
0.0127123 -0.0142764 -0.329619
0.0128111 -0.0143226 -0.329597
0.0129038 -0.0143533 -0.329555
0.0129551 -0.0143843 -0.329513
0.0129752 -0.0143849 -0.329467
0.0129691 -0.0144353 -0.329409
0.0129932 -0.0144475 -0.329345
0.0130254 -0.0144647 -0.329283
0.0130389 -0.0144317 -0.329216
0.0130092 -0.0143786 -0.329122
0.0129483 -0.014299 -0.329021
0.012875 -0.0142245 -0.328927
0.01279 -0.0141629 -0.328827
0.0127031 -0.0140745 -0.328703
0.0126134 -0.0139232 -0.32859
0.0124795 -0.0137149 -0.328484
0.0122789 -0.0134463 -0.328382
0.0120281 -0.0131919 -0.328287
0.0117857 -0.012953 -0.328206
0.0115755 -0.012748 -0.328147
0.0113711 -0.012531 -0.328116
0.0111599 -0.0123028 -0.32811
0.0109711 -0.0120427 -0.32811
0.0107994 -0.0117778 -0.328134
0.010614 -0.011447 -0.328154
0.0104083 -0.0111227 -0.328183
0.0102194 -0.0108364 -0.328238
0.0100687 -0.01059 -0.328298
0.00996792 -0.0103636 -0.32838
0.00987601 -0.0101728 -0.328506
0.00977344 -0.010012 -0.328647
0.00967302 -0.00981112 -0.328823
0.00957312 -0.00960867 -0.329022
0.00952695 -0.00938297 -0.329213
0.00953832 -0.00919198 -0.329409
0.00952685 -0.00897056 -0.329607
0.00947811 -0.00877384 -0.329826
0.00942629 -0.00857951 -0.330064
0.00936061 -0.0084202 -0.330313
0.00928387 -0.0082638 -0.330562
0.00921571 -0.00809825 -0.330768
0.00911738 -0.00793617 -0.330961
0.00900548 -0.00776992 -0.331146
0.00888188 -0.00761314 -0.331326
0.00872645 -0.00746649 -0.331494
0.00855618 -0.00734498 -0.331652
0.00839055 -0.0072119 -0.331798
0.00819625 -0.00710407 -0.331915
0.00797039 -0.00698942 -0.332014
0.0077114 -0.00690499 -0.33209
0.00743944 -0.00680718 -0.332137
0.00717163 -0.00673095 -0.332185
0.00693661 -0.00663964 -0.332236
0.00667678 -0.00655834 -0.332267
0.0063846 -0.00646787 -0.332304
0.00608046 -0.00634974 -0.332327
0.0058053 -0.00624215 -0.332344
0.00554386 -0.00612286 -0.332352
